cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate,loghour
0000016675F2D680000000026375706F795F70726572656C656173654355,莫煩＿Keras快速上手 機器學習神經網路實作,0000016676CEDF4D000000246375706F795F70726572656C656173654349,科普: 人工神經網絡 VS 生物神經網絡 ,"['tech_tw', 'robot_tw']",['Keras'],B0310653,1,8,48,2019-07-19,23
0000016675F2D680000000026375706F795F70726572656C656173654355,莫煩＿Keras快速上手 機器學習神經網路實作,0000016676D004E1000000256375706F795F70726572656C656173654349,什麼是神經網絡 (機器學習) ?,"['tech_tw', 'robot_tw']",['Keras'],B0310653,1,0,48,2019-07-19,23
0000016675F2D680000000026375706F795F70726572656C656173654355,莫煩＿Keras快速上手 機器學習神經網路實作,0000016676D24EF0000000266375706F795F70726572656C656173654349,神經網絡 : 梯度下降 (Gradient Descent in Neural Nets) ,"['tech_tw', 'robot_tw']",['Keras'],B0310653,1,1,48,2019-07-19,23
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3A8D0F7E000002EA6375706F795F72656C656173654349,初登汗位,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,40,18,2019-07-20,0
0000015CCB568012000000086375706F795F72656C656173654355,花媽家說故事,0000015CD5F4316B000002056375706F795F72656C656173654349,魔法豬鼻子（上集）,"['Babyhome_tw', 'life_tw', 'parenting_tw']","['故事', '親子', '閱讀']",FA910146,2,15,17,2019-07-20,0
0000016209FC8F0B000000046375706F795F72656C656173654355,8分鐘理財學堂,0000016219F2DF6A0001159D6375706F795F72656C656173654349,從「安屎之亂」看原物料對股價的影響,"['WhiteCollar_tw', 'business_tw']","['期權', '期貨', '股票']",B0310653,1,0,68,2019-07-20,0
000001623C92A4E8000000036375706F795F72656C656173654355,夯翻鼠|投資理財FQ,0000016287405DAF000002586375706F795F72656C656173654349,不能亂買！這二種ETF會自動扣血 (進階知識篇:槓桿型&反向型ETF) | 夯翻鼠FQ12 投資理財,"['WhiteCollar_tw', 'business_tw']","['ETF', '投資教學', '理財知識']",B0310653,1,0,39,2019-07-20,7
0000015D56127F76000000016375706F795F72656C656173654355,加點吉拿棒,0000016C0C3670A20000B15D6375706F795F72656C656173654349,《獅子王》超驚人的擬真動畫重現迪士尼經典 ft. 迷妹看電影｜週五電影趴,"['GamePlayer_tw', 'Hipster_tw', 'life_tw', 'movie_tw']","['影視', '文化', '電影']",49910145,2,51,25,2019-07-20,13
0000015C3A83A82A000000086375706F795F72656C656173654355,袁騰飛-五千年系列,0000015C3A8B314C000002E06375706F795F72656C656173654349,草原傳說,"['Reading_tw', 'ReadNovel_tw']","['中華文明', '歷史', '袁騰飛']",9B310147,1,3,18,2019-07-20,14
0000015BCD29A5A90000002A6375706F795F72656C656173654355,【電獺少女─女孩的科技日常】,000001697B8285800001A4FE6375706F795F72656C656173654349,可用App輕鬆看網路狀況 TP Link Archer A6路由器開箱,"['3CExpert_tw', 'tech_tw', '3c_tw']","['產品實測', '產品評論', '產品體驗']",49910145,1,0,68,2019-07-20,17
