cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
0000015CE2C12886000000026375706F795F72656C656173654355,腦補給,0000015E7F80B439000000B96375706F795F72656C656173654349,另外5個人類還一直相信的錯誤迷思,['life_tw'],"['新知', '生活', '知識']",6CA10149,1,9,8,2019-07-01
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE75EA9C0000006C6375706F795F72656C656173654349,Blockchain 源起 1-1｜區塊鏈從何而來?,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,2,27,69,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2ED04A4000000016375706F795F70726572656C656173654349,1. numpy & pandas 有什麼用? ,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,4,197,20,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2EE046E000000026375706F795F70726572656C656173654349,2. numpy & pandas 安裝,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,2,69,20,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2EF5099000000036375706F795F70726572656C656173654349,3. numpy 屬性 (教學教程),"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,2,374,20,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2F0FD0C000000046375706F795F70726572656C656173654349,4. numpy 的創建 array ,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,1,1159,20,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2F1C07D000000056375706F795F70726572656C656173654349,5. numpy的基礎運算 ,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,1,86,20,2019-07-01
00000165B2B2925D000000016375706F795F70726572656C656173654355,莫煩_把玩你的數據 機器學習Numpy & Pandas,00000165B2F27E92000000066375706F795F70726572656C656173654349,6. numpy的基礎運算2 ,"['tech_tw', 'robot_tw']","['matplotlib', 'numpy', 'pandas', 'python']",B0310653,1,0,20,2019-07-01
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,000001661A3A039A000000016375706F795F70726572656C656173654349,什麼是機器學習? ,['empty'],['empty'],B0310653,1,378,34,2019-07-01
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,000001661A3F2CA9000000026375706F795F70726572656C656173654349,人工神經網絡 VS 生物神經網絡 ,['empty'],['empty'],B0310653,1,0,34,2019-07-01
