ChannelGrouping,vistornum,sessionnum,logdate
Referral,93,140,2019-08-23
Social,30,44,2019-08-23
(Other),7,12,2019-08-24
Direct,166,263,2019-08-24
Organic Search,120,156,2019-08-24
Referral,85,126,2019-08-24
Social,23,32,2019-08-24
(Other),10,20,2019-08-25
Direct,225,363,2019-08-25
Organic Search,155,215,2019-08-25
Referral,118,206,2019-08-25
Social,26,39,2019-08-25
(Other),150,181,2019-08-26
Direct,520,819,2019-08-26
Organic Search,281,427,2019-08-26
Referral,297,520,2019-08-26
Social,81,120,2019-08-26
(Other),104,168,2019-08-27
Direct,434,687,2019-08-27
Organic Search,251,384,2019-08-27
Referral,271,486,2019-08-27
Social,80,125,2019-08-27
(Other),70,123,2019-08-28
Direct,354,516,2019-08-28
Organic Search,211,310,2019-08-28
Referral,236,390,2019-08-28
Social,62,101,2019-08-28
(Other),98,171,2019-08-29
Direct,313,545,2019-08-29
Organic Search,245,386,2019-08-29
Referral,237,423,2019-08-29
Social,85,139,2019-08-29
(Other),73,132,2019-08-30
Direct,287,481,2019-08-30
Organic Search,211,355,2019-08-30
Referral,193,372,2019-08-30
Social,85,159,2019-08-30
(Other),46,96,2019-08-31
Direct,241,439,2019-08-31
Organic Search,151,267,2019-08-31
Referral,154,315,2019-08-31
Social,62,124,2019-08-31
(Other),59,119,2019-09-01
Direct,260,482,2019-09-01
Organic Search,169,311,2019-09-01
Referral,169,377,2019-09-01
Social,65,132,2019-09-01
(Other),85,146,2019-09-02
Direct,330,565,2019-09-02
Organic Search,237,451,2019-09-02
Referral,190,394,2019-09-02
Social,97,173,2019-09-02
(Other),63,140,2019-09-03
Direct,289,539,2019-09-03
Organic Search,237,417,2019-09-03
Referral,184,385,2019-09-03
Social,79,168,2019-09-03
(Other),45,89,2019-09-04
Direct,271,456,2019-09-04
Organic Search,249,426,2019-09-04
Referral,182,357,2019-09-04
Social,69,145,2019-09-04
(Other),50,99,2019-09-05
Direct,290,485,2019-09-05
Organic Search,207,376,2019-09-05
Referral,162,320,2019-09-05
Social,75,157,2019-09-05
