interestAffinityCategory,vistornum,sessionnum,logdate
Food & Dining/Coffee Shop Regulars,61,122,2019-07-23
Food & Dining/Cooking Enthusiasts,70,129,2019-07-23
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,48,81,2019-07-23
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,30,54,2019-07-23
Food & Dining/Fast Food Cravers,98,187,2019-07-23
Food & Dining/Foodies,57,113,2019-07-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,26,40,2019-07-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,86,166,2019-07-23
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,99,181,2019-07-23
Home & Garden/Do-It-Yourselfers,109,185,2019-07-23
Home & Garden/Home Decor Enthusiasts,25,44,2019-07-23
Lifestyles & Hobbies/Art & Theater Aficionados,79,158,2019-07-23
Lifestyles & Hobbies/Business Professionals,136,264,2019-07-23
Lifestyles & Hobbies/Family-Focused,31,43,2019-07-23
Lifestyles & Hobbies/Fashionistas,44,88,2019-07-23
Lifestyles & Hobbies/Frequently Attends Live Events,67,147,2019-07-23
Lifestyles & Hobbies/Green Living Enthusiasts,105,184,2019-07-23
Lifestyles & Hobbies/Nightlife Enthusiasts,96,186,2019-07-23
Lifestyles & Hobbies/Outdoor Enthusiasts,99,174,2019-07-23
Lifestyles & Hobbies/Pet Lovers,22,44,2019-07-23
Lifestyles & Hobbies/Shutterbugs,136,234,2019-07-23
Lifestyles & Hobbies/Thrill Seekers,52,94,2019-07-23
Media & Entertainment/Book Lovers,34,63,2019-07-23
Media & Entertainment/Comics & Animation Fans,103,185,2019-07-23
Media & Entertainment/Gamers,91,178,2019-07-23
Media & Entertainment/Gamers/Action Game Fans,33,58,2019-07-23
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,35,61,2019-07-23
Media & Entertainment/Gamers/Casual & Social Gamers,32,59,2019-07-23
Media & Entertainment/Gamers/Hardcore Gamers,63,124,2019-07-23
Media & Entertainment/Gamers/Roleplaying Game Fans,44,79,2019-07-23
Media & Entertainment/Gamers/Shooter Game Fans,16,27,2019-07-23
Media & Entertainment/Light TV Viewers,95,184,2019-07-23
Media & Entertainment/Movie Lovers,137,252,2019-07-23
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,30,62,2019-07-23
Media & Entertainment/Movie Lovers/Family Movie Fans,15,29,2019-07-23
Media & Entertainment/Movie Lovers/Horror Movie Fans,15,29,2019-07-23
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,18,36,2019-07-23
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,27,54,2019-07-23
Media & Entertainment/Music Lovers,147,277,2019-07-23
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,12,34,2019-07-23
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,21,38,2019-07-23
Media & Entertainment/Music Lovers/Pop Music Fans,67,125,2019-07-23
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,32,73,2019-07-23
Media & Entertainment/Music Lovers/Rock Music Fans,15,32,2019-07-23
Media & Entertainment/Music Lovers/World Music Fans,70,133,2019-07-23
Media & Entertainment/TV Lovers,32,60,2019-07-23
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",15,30,2019-07-23
Media & Entertainment/TV Lovers/TV Drama Fans,23,46,2019-07-23
News & Politics/Avid News Readers,71,131,2019-07-23
News & Politics/Avid News Readers/Avid Business News Readers,41,79,2019-07-23
News & Politics/Avid News Readers/Avid Political News Readers,104,209,2019-07-23
News & Politics/Avid News Readers/Entertainment News Enthusiasts,38,74,2019-07-23
Shoppers/Bargain Hunters,37,60,2019-07-23
Shoppers/Luxury Shoppers,128,226,2019-07-23
Shoppers/Shopaholics,52,92,2019-07-23
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,31,53,2019-07-23
Shoppers/Shoppers by Store Type/Department Store Shoppers,55,106,2019-07-23
Shoppers/Value Shoppers,149,254,2019-07-23
Sports & Fitness/Health & Fitness Buffs,144,280,2019-07-23
Sports & Fitness/Sports Fans,121,229,2019-07-23
Sports & Fitness/Sports Fans/Baseball Fans,33,77,2019-07-23
Sports & Fitness/Sports Fans/Basketball Fans,29,67,2019-07-23
Sports & Fitness/Sports Fans/Cycling Enthusiasts,12,18,2019-07-23
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,10,30,2019-07-23
Sports & Fitness/Sports Fans/Soccer Fans,10,27,2019-07-23
Technology/Mobile Enthusiasts,112,190,2019-07-23
Technology/Social Media Enthusiasts,18,37,2019-07-23
Technology/Technophiles,161,287,2019-07-23
Travel/Business Travelers,122,216,2019-07-23
Travel/Travel Buffs,70,125,2019-07-23
Travel/Travel Buffs/Beachbound Travelers,13,23,2019-07-23
Travel/Travel Buffs/Family Vacationers,13,21,2019-07-23
Travel/Travel Buffs/Luxury Travelers,11,20,2019-07-23
Vehicles & Transportation/Auto Enthusiasts,78,138,2019-07-23
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,12,16,2019-07-23
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,10,14,2019-07-23
Banking & Finance/Avid Investors,82,149,2019-07-24
Beauty & Wellness/Beauty Mavens,31,42,2019-07-24
Beauty & Wellness/Frequently Visits Salons,97,170,2019-07-24
Food & Dining/Coffee Shop Regulars,71,123,2019-07-24
Food & Dining/Cooking Enthusiasts,69,124,2019-07-24
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,40,62,2019-07-24
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,31,46,2019-07-24
Food & Dining/Fast Food Cravers,94,175,2019-07-24
Food & Dining/Foodies,63,97,2019-07-24
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,29,46,2019-07-24
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,85,155,2019-07-24
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,97,177,2019-07-24
Home & Garden/Do-It-Yourselfers,98,168,2019-07-24
Home & Garden/Home Decor Enthusiasts,32,43,2019-07-24
Lifestyles & Hobbies/Art & Theater Aficionados,89,148,2019-07-24
Lifestyles & Hobbies/Business Professionals,127,233,2019-07-24
Lifestyles & Hobbies/Family-Focused,28,43,2019-07-24
Lifestyles & Hobbies/Fashionistas,45,72,2019-07-24
Lifestyles & Hobbies/Frequently Attends Live Events,71,119,2019-07-24
Lifestyles & Hobbies/Green Living Enthusiasts,105,182,2019-07-24
Lifestyles & Hobbies/Nightlife Enthusiasts,93,171,2019-07-24
Lifestyles & Hobbies/Outdoor Enthusiasts,99,171,2019-07-24
Lifestyles & Hobbies/Pet Lovers,32,46,2019-07-24
Lifestyles & Hobbies/Shutterbugs,115,215,2019-07-24
Lifestyles & Hobbies/Thrill Seekers,51,102,2019-07-24
Media & Entertainment/Book Lovers,43,63,2019-07-24
Media & Entertainment/Comics & Animation Fans,108,192,2019-07-24
Media & Entertainment/Gamers,98,177,2019-07-24
Media & Entertainment/Gamers/Action Game Fans,41,69,2019-07-24
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,48,81,2019-07-24
Media & Entertainment/Gamers/Casual & Social Gamers,30,52,2019-07-24
Media & Entertainment/Gamers/Hardcore Gamers,73,136,2019-07-24
Media & Entertainment/Gamers/Roleplaying Game Fans,56,95,2019-07-24
Media & Entertainment/Gamers/Shooter Game Fans,17,27,2019-07-24
Media & Entertainment/Light TV Viewers,107,196,2019-07-24
Media & Entertainment/Movie Lovers,145,256,2019-07-24
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,33,59,2019-07-24
Media & Entertainment/Movie Lovers/Comedy Movie Fans,11,14,2019-07-24
Media & Entertainment/Movie Lovers/Family Movie Fans,22,43,2019-07-24
Media & Entertainment/Movie Lovers/Horror Movie Fans,18,26,2019-07-24
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,24,35,2019-07-24
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,31,57,2019-07-24
Media & Entertainment/Music Lovers,157,278,2019-07-24
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,16,34,2019-07-24
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,26,46,2019-07-24
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,12,24,2019-07-24
Media & Entertainment/Music Lovers/Pop Music Fans,71,129,2019-07-24
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,43,91,2019-07-24
Media & Entertainment/Music Lovers/Rock Music Fans,19,34,2019-07-24
Media & Entertainment/Music Lovers/World Music Fans,77,140,2019-07-24
Media & Entertainment/TV Lovers,31,43,2019-07-24
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",16,20,2019-07-24
Media & Entertainment/TV Lovers/TV Drama Fans,19,25,2019-07-24
News & Politics/Avid News Readers,65,96,2019-07-24
News & Politics/Avid News Readers/Avid Business News Readers,34,55,2019-07-24
News & Politics/Avid News Readers/Avid Political News Readers,103,189,2019-07-24
News & Politics/Avid News Readers/Entertainment News Enthusiasts,35,49,2019-07-24
Shoppers/Bargain Hunters,25,40,2019-07-24
Shoppers/Luxury Shoppers,124,218,2019-07-24
Shoppers/Shopaholics,49,76,2019-07-24
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,39,61,2019-07-24
Shoppers/Shoppers by Store Type/Department Store Shoppers,51,99,2019-07-24
Shoppers/Value Shoppers,141,251,2019-07-24
Sports & Fitness/Health & Fitness Buffs,146,272,2019-07-24
Sports & Fitness/Sports Fans,119,212,2019-07-24
Sports & Fitness/Sports Fans/Baseball Fans,31,66,2019-07-24
Sports & Fitness/Sports Fans/Basketball Fans,27,62,2019-07-24
Sports & Fitness/Sports Fans/Cycling Enthusiasts,16,25,2019-07-24
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,11,22,2019-07-24
Sports & Fitness/Sports Fans/Tennis Enthusiasts,10,21,2019-07-24
Technology/Mobile Enthusiasts,108,192,2019-07-24
Technology/Social Media Enthusiasts,24,37,2019-07-24
Technology/Technophiles,148,267,2019-07-24
Travel/Business Travelers,108,201,2019-07-24
Travel/Travel Buffs,65,112,2019-07-24
Vehicles & Transportation/Auto Enthusiasts,71,128,2019-07-24
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,14,23,2019-07-24
Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,10,14,2019-07-24
Banking & Finance/Avid Investors,89,141,2019-07-25
Beauty & Wellness/Beauty Mavens,25,34,2019-07-25
Beauty & Wellness/Frequently Visits Salons,86,130,2019-07-25
Food & Dining/Coffee Shop Regulars,63,107,2019-07-25
Food & Dining/Cooking Enthusiasts,69,113,2019-07-25
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,37,56,2019-07-25
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,23,34,2019-07-25
Food & Dining/Fast Food Cravers,89,166,2019-07-25
Food & Dining/Foodies,50,86,2019-07-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,25,36,2019-07-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,80,142,2019-07-25
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,89,149,2019-07-25
Home & Garden/Do-It-Yourselfers,90,136,2019-07-25
Home & Garden/Home Decor Enthusiasts,24,34,2019-07-25
Lifestyles & Hobbies/Art & Theater Aficionados,83,141,2019-07-25
Lifestyles & Hobbies/Business Professionals,125,194,2019-07-25
Lifestyles & Hobbies/Family-Focused,29,34,2019-07-25
Lifestyles & Hobbies/Fashionistas,40,70,2019-07-25
Lifestyles & Hobbies/Frequently Attends Live Events,61,89,2019-07-25
Lifestyles & Hobbies/Green Living Enthusiasts,99,151,2019-07-25
Lifestyles & Hobbies/Nightlife Enthusiasts,88,149,2019-07-25
Lifestyles & Hobbies/Outdoor Enthusiasts,88,131,2019-07-25
Lifestyles & Hobbies/Pet Lovers,25,40,2019-07-25
Lifestyles & Hobbies/Shutterbugs,106,182,2019-07-25
Lifestyles & Hobbies/Thrill Seekers,49,80,2019-07-25
Media & Entertainment/Book Lovers,40,59,2019-07-25
Media & Entertainment/Comics & Animation Fans,98,164,2019-07-25
Media & Entertainment/Gamers,86,166,2019-07-25
Media & Entertainment/Gamers/Action Game Fans,33,62,2019-07-25
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,38,69,2019-07-25
Media & Entertainment/Gamers/Casual & Social Gamers,28,56,2019-07-25
Media & Entertainment/Gamers/Hardcore Gamers,67,125,2019-07-25
Media & Entertainment/Gamers/Roleplaying Game Fans,53,93,2019-07-25
Media & Entertainment/Gamers/Shooter Game Fans,13,20,2019-07-25
Media & Entertainment/Light TV Viewers,94,176,2019-07-25
Media & Entertainment/Movie Lovers,124,216,2019-07-25
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,30,47,2019-07-25
Media & Entertainment/Movie Lovers/Family Movie Fans,20,37,2019-07-25
Media & Entertainment/Movie Lovers/Horror Movie Fans,14,29,2019-07-25
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,21,28,2019-07-25
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,28,52,2019-07-25
Media & Entertainment/Music Lovers,139,234,2019-07-25
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,18,38,2019-07-25
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,20,32,2019-07-25
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,10,23,2019-07-25
Media & Entertainment/Music Lovers/Pop Music Fans,66,108,2019-07-25
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,34,69,2019-07-25
Media & Entertainment/Music Lovers/Rock Music Fans,14,28,2019-07-25
Media & Entertainment/Music Lovers/World Music Fans,70,116,2019-07-25
Media & Entertainment/TV Lovers,39,57,2019-07-25
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",17,21,2019-07-25
Media & Entertainment/TV Lovers/TV Drama Fans,21,26,2019-07-25
News & Politics/Avid News Readers,75,108,2019-07-25
News & Politics/Avid News Readers/Avid Business News Readers,46,67,2019-07-25
News & Politics/Avid News Readers/Avid Political News Readers,96,163,2019-07-25
News & Politics/Avid News Readers/Entertainment News Enthusiasts,40,56,2019-07-25
Shoppers/Bargain Hunters,27,44,2019-07-25
Shoppers/Luxury Shoppers,115,180,2019-07-25
Shoppers/Shopaholics,53,95,2019-07-25
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,34,50,2019-07-25
Shoppers/Shoppers by Store Type/Department Store Shoppers,54,91,2019-07-25
Shoppers/Value Shoppers,131,220,2019-07-25
Sports & Fitness/Health & Fitness Buffs,139,219,2019-07-25
Sports & Fitness/Sports Fans,122,184,2019-07-25
Sports & Fitness/Sports Fans/Baseball Fans,34,50,2019-07-25
Sports & Fitness/Sports Fans/Basketball Fans,32,45,2019-07-25
Sports & Fitness/Sports Fans/Cycling Enthusiasts,17,25,2019-07-25
Sports & Fitness/Sports Fans/Fight & Wrestling Fans,10,15,2019-07-25
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,14,21,2019-07-25
Sports & Fitness/Sports Fans/Soccer Fans,15,25,2019-07-25
Sports & Fitness/Sports Fans/Tennis Enthusiasts,11,18,2019-07-25
Technology/Mobile Enthusiasts,104,165,2019-07-25
Technology/Social Media Enthusiasts,21,37,2019-07-25
Technology/Technophiles,142,239,2019-07-25
Travel/Business Travelers,120,188,2019-07-25
Travel/Travel Buffs,61,93,2019-07-25
Vehicles & Transportation/Auto Enthusiasts,61,95,2019-07-25
Banking & Finance/Avid Investors,74,144,2019-07-26
Beauty & Wellness/Beauty Mavens,18,20,2019-07-26
Beauty & Wellness/Frequently Visits Salons,86,140,2019-07-26
Food & Dining/Coffee Shop Regulars,57,97,2019-07-26
Food & Dining/Cooking Enthusiasts,57,92,2019-07-26
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,37,51,2019-07-26
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,25,42,2019-07-26
Food & Dining/Fast Food Cravers,70,116,2019-07-26
Food & Dining/Foodies,51,80,2019-07-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,27,39,2019-07-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,81,148,2019-07-26
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,81,144,2019-07-26
Home & Garden/Do-It-Yourselfers,95,157,2019-07-26
Home & Garden/Home Decor Enthusiasts,23,29,2019-07-26
Lifestyles & Hobbies/Art & Theater Aficionados,79,141,2019-07-26
Lifestyles & Hobbies/Business Professionals,119,200,2019-07-26
Lifestyles & Hobbies/Family-Focused,24,32,2019-07-26
Lifestyles & Hobbies/Fashionistas,38,58,2019-07-26
Lifestyles & Hobbies/Frequently Attends Live Events,51,80,2019-07-26
Lifestyles & Hobbies/Green Living Enthusiasts,103,177,2019-07-26
Lifestyles & Hobbies/Nightlife Enthusiasts,72,138,2019-07-26
Lifestyles & Hobbies/Outdoor Enthusiasts,90,145,2019-07-26
Lifestyles & Hobbies/Pet Lovers,23,35,2019-07-26
Lifestyles & Hobbies/Shutterbugs,97,173,2019-07-26
Lifestyles & Hobbies/Thrill Seekers,43,76,2019-07-26
Media & Entertainment/Book Lovers,34,46,2019-07-26
Media & Entertainment/Comics & Animation Fans,85,143,2019-07-26
Media & Entertainment/Gamers,69,120,2019-07-26
Media & Entertainment/Gamers/Action Game Fans,27,49,2019-07-26
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,27,45,2019-07-26
Media & Entertainment/Gamers/Casual & Social Gamers,26,47,2019-07-26
Media & Entertainment/Gamers/Hardcore Gamers,51,89,2019-07-26
Media & Entertainment/Gamers/Roleplaying Game Fans,42,70,2019-07-26
Media & Entertainment/Gamers/Shooter Game Fans,11,19,2019-07-26
Media & Entertainment/Light TV Viewers,88,167,2019-07-26
Media & Entertainment/Movie Lovers,119,204,2019-07-26
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,27,41,2019-07-26
Media & Entertainment/Movie Lovers/Family Movie Fans,17,34,2019-07-26
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,18,25,2019-07-26
