interestAffinityCategory,vistornum,sessionnum,logdate
Sports & Fitness/Sports Fans/Basketball Fans,26,36,2019-06-26
Technology/Mobile Enthusiasts,84,150,2019-06-26
Technology/Social Media Enthusiasts,16,27,2019-06-26
Technology/Technophiles,127,223,2019-06-26
Travel/Business Travelers,104,183,2019-06-26
Travel/Travel Buffs,61,110,2019-06-26
Vehicles & Transportation/Auto Enthusiasts,52,82,2019-06-26
Banking & Finance/Avid Investors,70,109,2019-06-27
Beauty & Wellness/Beauty Mavens,32,46,2019-06-27
Beauty & Wellness/Frequently Visits Salons,84,133,2019-06-27
Food & Dining/Coffee Shop Regulars,72,116,2019-06-27
Food & Dining/Cooking Enthusiasts,52,80,2019-06-27
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,42,73,2019-06-27
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,25,38,2019-06-27
Food & Dining/Fast Food Cravers,78,125,2019-06-27
Food & Dining/Foodies,61,96,2019-06-27
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,27,45,2019-06-27
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,82,134,2019-06-27
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,77,133,2019-06-27
Home & Garden/Do-It-Yourselfers,78,136,2019-06-27
Home & Garden/Home Decor Enthusiasts,30,40,2019-06-27
Lifestyles & Hobbies/Art & Theater Aficionados,87,146,2019-06-27
Lifestyles & Hobbies/Business Professionals,106,171,2019-06-27
Lifestyles & Hobbies/Family-Focused,31,52,2019-06-27
Lifestyles & Hobbies/Fashionistas,49,75,2019-06-27
Lifestyles & Hobbies/Frequently Attends Live Events,57,97,2019-06-27
Lifestyles & Hobbies/Green Living Enthusiasts,91,149,2019-06-27
Lifestyles & Hobbies/Nightlife Enthusiasts,75,134,2019-06-27
Lifestyles & Hobbies/Outdoor Enthusiasts,78,137,2019-06-27
Lifestyles & Hobbies/Pet Lovers,35,61,2019-06-27
Lifestyles & Hobbies/Shutterbugs,93,165,2019-06-27
Lifestyles & Hobbies/Thrill Seekers,35,60,2019-06-27
Media & Entertainment/Book Lovers,36,54,2019-06-27
Media & Entertainment/Comics & Animation Fans,82,148,2019-06-27
Media & Entertainment/Gamers,80,138,2019-06-27
Media & Entertainment/Gamers/Action Game Fans,35,58,2019-06-27
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,42,73,2019-06-27
Media & Entertainment/Gamers/Casual & Social Gamers,28,49,2019-06-27
Media & Entertainment/Gamers/Hardcore Gamers,61,101,2019-06-27
Media & Entertainment/Gamers/Roleplaying Game Fans,42,74,2019-06-27
Media & Entertainment/Gamers/Shooter Game Fans,17,26,2019-06-27
Media & Entertainment/Light TV Viewers,95,167,2019-06-27
Media & Entertainment/Movie Lovers,125,210,2019-06-27
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,32,54,2019-06-27
Media & Entertainment/Movie Lovers/Family Movie Fans,20,41,2019-06-27
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,14,24,2019-06-27
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,31,52,2019-06-27
Media & Entertainment/Music Lovers,123,218,2019-06-27
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,13,29,2019-06-27
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,16,26,2019-06-27
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,12,23,2019-06-27
