pagePath,avgsessionduration,pvnum,exitRate,logdate
/influencer/AD310830,0.0,5,16.7,2019-07-14
/influencer/C1310836,0.0,3,0.0,2019-07-14
/influencer/C4410729,0.0,2,20.0,2019-07-14
/influencer/C7A10833,0.0,2,33.3,2019-07-14
/influencer/D0110739,0.0,2,0.0,2019-07-14
/influencer/E4B10878,0.0,1,0.0,2019-07-14
/introduction,317.6,64,1.5,2019-07-14
/kwassist/ai_tw,830.3333333333334,133,4.0,2019-07-14
/kwassist/ai_tw?layoutType=home,599.0,0,0.0,2019-07-14
/kwassist/ai_tw?layoutType=qa&queryTags=ml100-2-d19,45.0,0,0.0,2019-07-14
/kwassist/ai_tw?layoutType=qa&queryTags=ml100-2-d27,1470.0,0,0.0,2019-07-14
/kwassist/ai_tw?layoutType=qa&queryTags=ml100-2-d28,1867.0,0,0.0,2019-07-14
/kwassist/ai_tw?layoutType=qa&queryTags=ml100-2-d56,21.0,0,0.0,2019-07-14
/mission/D1,654.0,27,14.7,2019-07-14
/mission/D10,0.0,3,0.0,2019-07-14
/mission/D101,0.0,2,50.0,2019-07-14
/mission/D106,0.0,1,0.0,2019-07-14
/mission/D11,0.0,2,0.0,2019-07-14
/mission/D110,0.0,2,0.0,2019-07-14
/mission/D12,0.0,1,0.0,2019-07-14
/mission/D13,18.0,6,14.3,2019-07-14
/mission/D14,0.0,1,0.0,2019-07-14
/mission/D15,0.0,4,25.0,2019-07-14
/mission/D16,0.0,4,0.0,2019-07-14
/mission/D17,0.0,5,12.5,2019-07-14
/mission/D18,0.0,4,20.0,2019-07-14
/mission/D19,0.0,7,12.5,2019-07-14
/mission/D2,0.0,12,21.4,2019-07-14
/mission/D20,1.0,7,11.1,2019-07-14
/mission/D21,0.0,5,20.0,2019-07-14
/mission/D22,0.0,2,0.0,2019-07-14
/mission/D23,0.0,4,0.0,2019-07-14
/mission/D24,1934.0,12,38.5,2019-07-14
/mission/D25,0.0,3,33.3,2019-07-14
/mission/D26,0.0,3,33.3,2019-07-14
/mission/D27,0.0,6,16.7,2019-07-14
/mission/D28,0.0,8,20.0,2019-07-14
/mission/D29,0.0,4,28.6,2019-07-14
/mission/D3,0.0,6,0.0,2019-07-14
/mission/D30,0.0,5,33.3,2019-07-14
/mission/D31,1024.3333333333333,10,28.6,2019-07-14
/mission/D32,0.0,9,20.0,2019-07-14
/mission/D33,289.0,13,30.8,2019-07-14
/mission/D34,713.5,13,38.5,2019-07-14
/mission/D35,0.0,5,20.0,2019-07-14
/mission/D36,2.5,6,33.3,2019-07-14
/mission/D37,1687.0,5,16.7,2019-07-14
/mission/D38,0.0,6,28.6,2019-07-14
/mission/D39,0.5,10,30.0,2019-07-14
/mission/D4,0.0,8,0.0,2019-07-14
/mission/D40,0.0,6,16.7,2019-07-14
/mission/D41,2108.0,14,22.2,2019-07-14
/mission/D42,0.0,8,15.4,2019-07-14
/mission/D43,1841.5,10,16.7,2019-07-14
/mission/D44,0.0,6,16.7,2019-07-14
/mission/D45,1.0,5,16.7,2019-07-14
/mission/D46,0.0,5,20.0,2019-07-14
/mission/D47,0.0,5,0.0,2019-07-14
/mission/D48,0.0,9,16.7,2019-07-14
/mission/D49,0.0,5,33.3,2019-07-14
/mission/D5,0.0,8,0.0,2019-07-14
/mission/D50,0.0,5,28.6,2019-07-14
/mission/D51,659.0,4,0.0,2019-07-14
/mission/D54,8891.0,5,0.0,2019-07-14
/mission/D55,2.0,7,10.0,2019-07-14
/mission/D56,0.0,6,11.1,2019-07-14
/mission/D57,0.0,6,0.0,2019-07-14
/mission/D58,0.0,6,33.3,2019-07-14
/mission/D59,0.0,2,0.0,2019-07-14
/mission/D6,1002.0,11,46.2,2019-07-14
/mission/D60,0.0,2,0.0,2019-07-14
/mission/D61,0.0,4,0.0,2019-07-14
/mission/D62,1006.0,5,0.0,2019-07-14
/mission/D63,351.0,9,18.2,2019-07-14
/mission/D64,0.0,8,12.5,2019-07-14
/mission/D65,0.0,10,8.3,2019-07-14
/mission/D66,376.0,18,12.0,2019-07-14
/mission/D67,0.5,22,24.0,2019-07-14
/mission/D68,59.0,26,13.8,2019-07-14
/mission/D69,257.0,34,13.2,2019-07-14
/mission/D7,0.0,5,33.3,2019-07-14
/mission/D7ˊ,0.0,1,0.0,2019-07-14
/mission/D70,486.6,30,15.8,2019-07-14
/mission/D71,117.75,38,30.2,2019-07-14
/mission/D72,1.0,44,20.8,2019-07-14
/mission/D73,826.0,48,13.7,2019-07-14
/mission/D74,1054.3333333333333,52,25.0,2019-07-14
/mission/D75,564.2222222222222,67,13.9,2019-07-14
/mission/D76,977.8888888888889,70,26.8,2019-07-14
/mission/D77,99.8,64,12.9,2019-07-14
/mission/D78,1.0,66,23.3,2019-07-14
/mission/D8,0.0,3,33.3,2019-07-14
/mission/D9,0.0,2,0.0,2019-07-14
/mypage/home,0.0,5,0.0,2019-07-14
/mypage/kwassists-following-qa,0.0,2,0.0,2019-07-14
/newsfeed/topicgrp/3CExpert_tw,44.0,1,100.0,2019-07-14
/newsfeed/topstory,335.5,3,33.3,2019-07-14
/participator/00F12944/questions,343.0,2,0.0,2019-07-14
/participator/02711602/questions,487.0,2,0.0,2019-07-14
/participator/03A12675/questions,0.0,1,100.0,2019-07-14
/participator/04912918/questions,226.66666666666666,19,9.1,2019-07-14
/participator/04D11808/questions,338.0,6,0.0,2019-07-14
/participator/06412193/questions,1807.0,16,5.9,2019-07-14
/participator/06612619/questions,0.0,2,0.0,2019-07-14
/participator/06811874/questions,12.0,2,0.0,2019-07-14
/participator/06A12232/questions,2617.0,17,0.0,2019-07-14
/participator/08813369/questions,0.0,3,0.0,2019-07-14
/participator/09E11277/questions,11.0,1,0.0,2019-07-14
/participator/0A410882/questions,0.0,1,0.0,2019-07-14
/participator/0A812467/questions,0.0,1,0.0,2019-07-14
/participator/0AA11464/questions,1118.0,23,0.0,2019-07-14
/participator/0CB12779/questions,0.0,1,100.0,2019-07-14
/participator/0CE13508/questions,0.0,8,20.0,2019-07-14
/participator/0E912860/questions,121.0,3,0.0,2019-07-14
/participator/0F912605/questions,0.0,1,0.0,2019-07-14
/participator/10311793/questions,0.0,2,0.0,2019-07-14
/participator/10712308/questions,2.0,39,10.0,2019-07-14
/participator/11713212/questions,653.0,10,0.0,2019-07-14
/participator/12612618/questions,0.0,1,0.0,2019-07-14
/participator/13412488/questions,0.0,7,0.0,2019-07-14
/participator/16011034/questions,0.0,3,0.0,2019-07-14
/participator/17B11626/questions,0.0,1,0.0,2019-07-14
/participator/18312523/questions,229.0,1,0.0,2019-07-14
/participator/19013267/questions,0.0,2,50.0,2019-07-14
/participator/1AC12384/questions,0.0,1,100.0,2019-07-14
/participator/1C212925/questions,1116.0,4,25.0,2019-07-14
/participator/1F612037/questions,0.0,1,100.0,2019-07-14
/participator/1FE11583/questions,4483.5,13,13.3,2019-07-14
/participator/20313013/questions,0.0,3,33.3,2019-07-14
/participator/22611807/questions,0.0,1,100.0,2019-07-14
