daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
29,1,1,109,2019-07-23
3,12,12,148,2019-07-23
35,1,1,1,2019-07-23
36,1,1,3,2019-07-23
4,13,13,190,2019-07-23
49,1,1,14,2019-07-23
5,12,12,96,2019-07-23
56,1,1,1,2019-07-23
6,4,4,7,2019-07-23
7,1,1,20,2019-07-23
8,2,2,7,2019-07-23
9,5,5,29,2019-07-23
94,1,1,14,2019-07-23
0,341,599,4569,2019-07-24
1,69,69,352,2019-07-24
10,1,1,1,2019-07-24
15,1,1,2,2019-07-24
16,1,1,2,2019-07-24
18,2,2,7,2019-07-24
2,17,17,46,2019-07-24
21,1,1,14,2019-07-24
29,1,1,2,2019-07-24
3,12,12,112,2019-07-24
31,1,1,2,2019-07-24
4,11,11,101,2019-07-24
42,1,1,6,2019-07-24
48,1,1,10,2019-07-24
5,9,9,55,2019-07-24
6,2,2,6,2019-07-24
69,1,1,7,2019-07-24
7,3,3,15,2019-07-24
8,5,5,111,2019-07-24
9,4,4,59,2019-07-24
0,315,574,4333,2019-07-25
1,78,78,594,2019-07-25
10,3,3,4,2019-07-25
11,3,3,48,2019-07-25
12,1,1,0,2019-07-25
13,2,2,132,2019-07-25
14,3,3,37,2019-07-25
16,1,1,5,2019-07-25
18,1,1,2,2019-07-25
19,1,1,1,2019-07-25
2,39,39,325,2019-07-25
22,1,1,1,2019-07-25
3,5,5,47,2019-07-25
30,1,1,349,2019-07-25
31,1,1,7,2019-07-25
4,8,8,30,2019-07-25
45,1,1,8,2019-07-25
46,1,1,9,2019-07-25
47,1,1,2,2019-07-25
5,7,7,29,2019-07-25
6,3,3,29,2019-07-25
68,1,1,3,2019-07-25
7,9,9,51,2019-07-25
77,1,1,4,2019-07-25
8,1,1,3,2019-07-25
80,1,1,1,2019-07-25
9,1,1,7,2019-07-25
91,1,1,10,2019-07-25
0,280,479,3170,2019-07-26
1,59,59,659,2019-07-26
10,3,3,16,2019-07-26
104,1,1,0,2019-07-26
11,2,2,5,2019-07-26
12,3,3,19,2019-07-26
13,2,2,3,2019-07-26
15,1,1,9,2019-07-26
16,1,1,4,2019-07-26
17,4,4,24,2019-07-26
19,1,1,2,2019-07-26
2,28,28,199,2019-07-26
20,1,1,2,2019-07-26
22,1,1,18,2019-07-26
26,1,1,0,2019-07-26
27,2,2,2,2019-07-26
3,12,12,47,2019-07-26
30,1,1,17,2019-07-26
35,2,1,4,2019-07-26
36,1,1,21,2019-07-26
4,4,4,78,2019-07-26
44,1,1,6,2019-07-26
5,5,5,78,2019-07-26
50,1,1,1,2019-07-26
59,2,2,27,2019-07-26
6,4,4,86,2019-07-26
64,1,1,2,2019-07-26
7,6,6,81,2019-07-26
70,1,1,4,2019-07-26
8,5,5,92,2019-07-26
9,1,1,0,2019-07-26
94,1,1,23,2019-07-26
0,207,374,2766,2019-07-27
1,43,43,380,2019-07-27
10,3,3,4,2019-07-27
100,2,2,19,2019-07-27
12,1,1,1,2019-07-27
13,2,2,22,2019-07-27
14,1,1,1,2019-07-27
16,3,3,7,2019-07-27
17,1,1,3,2019-07-27
18,1,1,9,2019-07-27
19,1,1,1,2019-07-27
2,20,20,127,2019-07-27
22,1,1,4,2019-07-27
23,1,1,5,2019-07-27
26,1,1,9,2019-07-27
3,9,9,43,2019-07-27
4,7,7,155,2019-07-27
42,1,1,1,2019-07-27
46,1,1,1,2019-07-27
48,1,1,1,2019-07-27
5,7,7,65,2019-07-27
6,3,3,8,2019-07-27
64,1,1,5,2019-07-27
7,1,1,2,2019-07-27
8,1,1,1,2019-07-27
9,2,2,3,2019-07-27
