daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
48,2,2,12,2019-07-09
5,7,7,95,2019-07-09
56,1,1,2,2019-07-09
58,1,1,1,2019-07-09
6,6,6,44,2019-07-09
7,6,6,13,2019-07-09
8,3,3,4,2019-07-09
84,1,1,5,2019-07-09
86,1,1,1,2019-07-09
89,1,1,1,2019-07-09
9,1,1,30,2019-07-09
0,290,517,3437,2019-07-10
1,66,66,396,2019-07-10
10,2,2,73,2019-07-10
11,2,2,42,2019-07-10
12,3,3,15,2019-07-10
13,1,1,9,2019-07-10
14,2,2,9,2019-07-10
15,1,1,1,2019-07-10
16,1,1,46,2019-07-10
17,1,1,1,2019-07-10
18,1,1,3,2019-07-10
2,24,24,164,2019-07-10
20,2,2,36,2019-07-10
22,1,1,1,2019-07-10
23,1,1,3,2019-07-10
24,2,2,2,2019-07-10
26,1,1,1,2019-07-10
27,1,1,0,2019-07-10
3,11,11,56,2019-07-10
30,2,2,1,2019-07-10
33,1,1,1,2019-07-10
34,1,1,2,2019-07-10
36,1,1,1,2019-07-10
4,12,12,139,2019-07-10
5,11,11,80,2019-07-10
55,1,1,16,2019-07-10
6,6,6,57,2019-07-10
7,5,5,29,2019-07-10
72,1,1,3,2019-07-10
8,4,4,17,2019-07-10
9,3,3,12,2019-07-10
0,360,613,3813,2019-07-11
1,81,81,568,2019-07-11
11,1,1,7,2019-07-11
12,1,1,11,2019-07-11
13,4,4,6,2019-07-11
14,1,1,3,2019-07-11
15,1,1,10,2019-07-11
18,3,3,19,2019-07-11
19,1,1,41,2019-07-11
2,34,34,422,2019-07-11
20,3,3,51,2019-07-11
21,1,1,1,2019-07-11
23,2,2,15,2019-07-11
24,1,1,3,2019-07-11
28,3,3,9,2019-07-11
3,15,15,168,2019-07-11
35,1,1,8,2019-07-11
36,1,1,2,2019-07-11
4,7,7,18,2019-07-11
40,1,1,0,2019-07-11
42,1,1,8,2019-07-11
44,1,1,9,2019-07-11
45,1,1,1,2019-07-11
48,1,1,5,2019-07-11
49,1,1,0,2019-07-11
5,4,4,6,2019-07-11
56,1,1,7,2019-07-11
59,1,1,18,2019-07-11
6,7,7,55,2019-07-11
7,4,4,6,2019-07-11
8,4,4,22,2019-07-11
84,1,1,4,2019-07-11
85,1,1,1,2019-07-11
9,6,6,28,2019-07-11
92,1,1,3,2019-07-11
0,293,549,3786,2019-07-12
1,54,54,354,2019-07-12
10,3,3,20,2019-07-12
11,1,1,1,2019-07-12
13,1,1,8,2019-07-12
14,1,1,17,2019-07-12
16,1,1,12,2019-07-12
17,2,2,3,2019-07-12
18,2,2,4,2019-07-12
2,19,19,125,2019-07-12
22,1,1,3,2019-07-12
26,1,1,3,2019-07-12
28,1,1,1,2019-07-12
3,13,13,66,2019-07-12
39,1,1,1,2019-07-12
4,6,6,31,2019-07-12
43,1,1,1,2019-07-12
46,1,1,2,2019-07-12
49,1,1,1,2019-07-12
5,3,3,4,2019-07-12
50,1,1,16,2019-07-12
53,1,1,4,2019-07-12
59,1,1,34,2019-07-12
6,6,6,24,2019-07-12
7,4,4,24,2019-07-12
8,1,1,1,2019-07-12
89,1,1,4,2019-07-12
9,2,2,49,2019-07-12
94,1,1,1,2019-07-12
0,232,444,3175,2019-07-13
1,67,67,512,2019-07-13
11,1,1,4,2019-07-13
12,1,1,17,2019-07-13
13,2,2,4,2019-07-13
14,2,2,17,2019-07-13
17,1,1,22,2019-07-13
2,18,18,110,2019-07-13
20,1,1,2,2019-07-13
21,1,1,1,2019-07-13
23,1,1,7,2019-07-13
25,1,1,8,2019-07-13
29,1,1,1,2019-07-13
3,13,13,66,2019-07-13
33,1,1,14,2019-07-13
34,1,1,8,2019-07-13
35,1,1,2,2019-07-13
37,1,1,1,2019-07-13
38,1,1,1,2019-07-13
4,6,6,57,2019-07-13
44,1,1,1,2019-07-13
5,6,6,78,2019-07-13
51,1,1,9,2019-07-13
57,1,1,9,2019-07-13
6,5,5,108,2019-07-13
7,2,2,29,2019-07-13
74,1,1,27,2019-07-13
8,1,1,1,2019-07-13
82,1,1,27,2019-07-13
89,1,1,14,2019-07-13
9,2,2,29,2019-07-13
