daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
7,2,2,43,2019-07-17
9,1,1,3,2019-07-17
95,1,1,1,2019-07-17
0,314,553,3409,2019-07-18
1,67,67,401,2019-07-18
11,1,1,4,2019-07-18
12,1,1,16,2019-07-18
13,3,3,20,2019-07-18
14,2,2,8,2019-07-18
15,2,2,13,2019-07-18
16,1,1,5,2019-07-18
17,1,1,1,2019-07-18
19,1,1,1,2019-07-18
2,33,33,195,2019-07-18
20,1,1,0,2019-07-18
21,1,1,1,2019-07-18
23,1,1,13,2019-07-18
26,1,1,1,2019-07-18
3,10,10,69,2019-07-18
30,1,1,27,2019-07-18
32,1,1,28,2019-07-18
35,1,1,7,2019-07-18
37,1,1,2,2019-07-18
38,3,3,4,2019-07-18
39,1,1,5,2019-07-18
4,6,6,67,2019-07-18
5,7,7,23,2019-07-18
53,1,1,2,2019-07-18
54,1,1,42,2019-07-18
6,7,7,21,2019-07-18
65,1,1,3,2019-07-18
7,5,5,55,2019-07-18
8,3,3,33,2019-07-18
89,1,1,13,2019-07-18
9,3,3,6,2019-07-18
98,1,1,3,2019-07-18
0,280,517,3888,2019-07-19
1,62,61,438,2019-07-19
11,1,1,5,2019-07-19
12,1,1,1,2019-07-19
13,1,1,9,2019-07-19
14,1,1,10,2019-07-19
15,1,1,6,2019-07-19
16,2,2,7,2019-07-19
17,3,3,25,2019-07-19
18,1,1,5,2019-07-19
19,1,1,6,2019-07-19
2,16,16,150,2019-07-19
20,1,1,1,2019-07-19
27,1,1,2,2019-07-19
3,17,17,203,2019-07-19
33,1,1,7,2019-07-19
36,1,1,1,2019-07-19
4,9,9,29,2019-07-19
47,1,1,6,2019-07-19
5,6,6,38,2019-07-19
6,6,6,28,2019-07-19
68,1,1,1,2019-07-19
7,5,5,17,2019-07-19
8,2,2,45,2019-07-19
9,4,4,56,2019-07-19
0,236,452,3136,2019-07-20
1,54,54,377,2019-07-20
10,2,2,8,2019-07-20
11,3,3,6,2019-07-20
12,1,1,1,2019-07-20
13,2,2,59,2019-07-20
138,1,1,12,2019-07-20
14,3,3,47,2019-07-20
15,1,1,2,2019-07-20
16,2,2,3,2019-07-20
17,1,1,4,2019-07-20
18,1,1,4,2019-07-20
19,1,1,17,2019-07-20
2,17,17,153,2019-07-20
3,9,9,74,2019-07-20
33,3,3,39,2019-07-20
4,7,7,89,2019-07-20
40,1,1,11,2019-07-20
42,1,1,6,2019-07-20
44,2,2,29,2019-07-20
48,1,1,3,2019-07-20
5,8,8,53,2019-07-20
57,1,1,1,2019-07-20
6,7,7,73,2019-07-20
7,5,5,36,2019-07-20
70,1,1,1,2019-07-20
8,1,1,2,2019-07-20
9,2,2,20,2019-07-20
