interestOtherCategory,vistornum,sessionnum,logdate
Jobs & Education/Education/Colleges & Universities,21,39,2019-07-17
News/Business News/Financial Markets News,33,52,2019-07-17
News/Politics/Campaigns & Elections,13,24,2019-07-17
Online Communities/Social Networks,25,43,2019-07-17
People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,10,12,2019-07-17
Reference/General Reference/Dictionaries & Encyclopedias,23,35,2019-07-17
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,12,21,2019-07-17
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,10,19,2019-07-17
Science/Computer Science/Machine Learning & Artificial Intelligence,42,64,2019-07-17
Science/Mathematics,16,18,2019-07-17
Science/Mathematics/Statistics,23,52,2019-07-17
Sports/Team Sports/Baseball,20,36,2019-07-17
Sports/Team Sports/Basketball,21,28,2019-07-17
Travel/Air Travel,32,59,2019-07-17
Travel/Hotels & Accommodations,13,35,2019-07-17
Travel/Travel Agencies & Services,12,30,2019-07-17
Arts & Entertainment/Celebrities & Entertainment News,14,19,2019-07-18
Arts & Entertainment/Comics & Animation/Anime & Manga,22,37,2019-07-18
Arts & Entertainment/Music & Audio/Pop Music,30,54,2019-07-18
Arts & Entertainment/Music & Audio/World Music/East Asian Music,33,57,2019-07-18
Arts & Entertainment/TV & Video/Online Video,34,53,2019-07-18
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,11,12,2019-07-18
Books & Literature/E-Books,34,48,2019-07-18
Computers & Electronics/Enterprise Technology/Data Management,17,27,2019-07-18
Computers & Electronics/Programming/Scripting Languages,37,65,2019-07-18
Computers & Electronics/Software/Operating Systems/Linux & Unix,12,16,2019-07-18
Food & Drink/Restaurants,17,19,2019-07-18
Games/Roleplaying Games,16,21,2019-07-18
Internet & Telecom/Email & Messaging,13,17,2019-07-18
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,11,18,2019-07-18
Internet & Telecom/Search Engines,23,33,2019-07-18
Internet & Telecom/Web Portals,26,36,2019-07-18
Internet & Telecom/Web Services/Web Design & Development,19,33,2019-07-18
Jobs & Education/Education/Colleges & Universities,22,29,2019-07-18
News/Business News/Financial Markets News,26,41,2019-07-18
News/Politics/Campaigns & Elections,13,21,2019-07-18
Online Communities/Social Networks,19,31,2019-07-18
Reference/General Reference/Dictionaries & Encyclopedias,18,28,2019-07-18
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,10,17,2019-07-18
Science/Computer Science/Machine Learning & Artificial Intelligence,37,68,2019-07-18
Science/Mathematics/Statistics,22,44,2019-07-18
Sports/Team Sports/Baseball,18,27,2019-07-18
Sports/Team Sports/Basketball,15,22,2019-07-18
Travel/Air Travel,30,46,2019-07-18
Arts & Entertainment/Celebrities & Entertainment News,11,18,2019-07-19
Arts & Entertainment/Comics & Animation/Anime & Manga,16,26,2019-07-19
Arts & Entertainment/Music & Audio/Pop Music,29,49,2019-07-19
Arts & Entertainment/Music & Audio/World Music/East Asian Music,29,45,2019-07-19
Arts & Entertainment/TV & Video/Online Video,29,46,2019-07-19
Books & Literature/E-Books,36,56,2019-07-19
Computers & Electronics/Enterprise Technology/Data Management,16,22,2019-07-19
Computers & Electronics/Programming/Scripting Languages,29,48,2019-07-19
Computers & Electronics/Software/Operating Systems/Windows OS,10,18,2019-07-19
Food & Drink/Restaurants,13,19,2019-07-19
Games/Roleplaying Games,13,19,2019-07-19
Internet & Telecom/Email & Messaging,13,20,2019-07-19
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,19,2019-07-19
Internet & Telecom/Search Engines,28,35,2019-07-19
Internet & Telecom/Web Portals,27,33,2019-07-19
Internet & Telecom/Web Services/Web Design & Development,11,17,2019-07-19
Jobs & Education/Education/Colleges & Universities,24,35,2019-07-19
News/Business News/Financial Markets News,27,42,2019-07-19
News/Politics/Campaigns & Elections,12,21,2019-07-19
Online Communities/Social Networks,18,28,2019-07-19
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,11,16,2019-07-19
Science/Computer Science/Machine Learning & Artificial Intelligence,28,58,2019-07-19
Science/Mathematics,11,19,2019-07-19
Science/Mathematics/Statistics,18,34,2019-07-19
Sports/Team Sports/Baseball,14,23,2019-07-19
Sports/Team Sports/Basketball,18,32,2019-07-19
Travel/Air Travel,18,24,2019-07-19
Arts & Entertainment/Celebrities & Entertainment News,15,22,2019-07-20
Arts & Entertainment/Comics & Animation/Anime & Manga,25,50,2019-07-20
Arts & Entertainment/Music & Audio/Pop Music,38,66,2019-07-20
Arts & Entertainment/Music & Audio/World Music/East Asian Music,37,65,2019-07-20
Arts & Entertainment/TV & Video/Online Video,31,52,2019-07-20
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,23,2019-07-20
Books & Literature/E-Books,31,49,2019-07-20
Computers & Electronics/Programming/Scripting Languages,20,36,2019-07-20
Food & Drink/Restaurants,15,20,2019-07-20
Games/Computer & Video Games/Strategy Games,11,15,2019-07-20
Games/Roleplaying Games,12,19,2019-07-20
Internet & Telecom/Search Engines,17,24,2019-07-20
Internet & Telecom/Web Portals,18,29,2019-07-20
Jobs & Education/Education/Colleges & Universities,18,28,2019-07-20
News/Business News/Financial Markets News,19,31,2019-07-20
Online Communities/Social Networks,15,34,2019-07-20
Science/Computer Science/Machine Learning & Artificial Intelligence,26,52,2019-07-20
Sports/Team Sports/Basketball,12,16,2019-07-20
Travel/Air Travel,19,31,2019-07-20
