interestOtherCategory,vistornum,sessionnum,logdate
Internet & Telecom/Web Portals,21,32,2019-07-27
Jobs & Education/Education/Colleges & Universities,14,17,2019-07-27
News/Business News/Financial Markets News,20,43,2019-07-27
Online Communities/Social Networks,14,33,2019-07-27
Reference/General Reference/Dictionaries & Encyclopedias,13,28,2019-07-27
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,19,30,2019-07-27
Science/Computer Science/Machine Learning & Artificial Intelligence,35,75,2019-07-27
Science/Mathematics,11,24,2019-07-27
Science/Mathematics/Statistics,20,39,2019-07-27
Sports/Team Sports/Basketball,11,22,2019-07-27
Travel/Air Travel,16,23,2019-07-27
