interestOtherCategory,vistornum,sessionnum,logdate
Internet & Telecom/Search Engines,21,30,2019-07-02
Internet & Telecom/Web Portals,29,49,2019-07-02
Internet & Telecom/Web Services/Web Design & Development,13,21,2019-07-02
Jobs & Education/Education/Colleges & Universities,26,49,2019-07-02
News/Business News/Financial Markets News,29,53,2019-07-02
News/Politics/Campaigns & Elections,15,28,2019-07-02
Online Communities/Social Networks,14,34,2019-07-02
Reference/General Reference/Dictionaries & Encyclopedias,23,40,2019-07-02
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,28,2019-07-02
Science/Computer Science/Machine Learning & Artificial Intelligence,50,110,2019-07-02
Science/Mathematics/Statistics,55,118,2019-07-02
Sports/Team Sports/Baseball,21,42,2019-07-02
Sports/Team Sports/Basketball,29,58,2019-07-02
Travel/Air Travel,16,26,2019-07-02
Arts & Entertainment/Celebrities & Entertainment News,15,23,2019-07-03
Arts & Entertainment/Comics & Animation/Anime & Manga,34,61,2019-07-03
Arts & Entertainment/Music & Audio/Music Videos,11,22,2019-07-03
Arts & Entertainment/Music & Audio/Pop Music,46,76,2019-07-03
Arts & Entertainment/Music & Audio/World Music/East Asian Music,50,88,2019-07-03
Arts & Entertainment/TV & Video/Online Video,51,82,2019-07-03
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,19,28,2019-07-03
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talent & Variety Shows,11,19,2019-07-03
Books & Literature/E-Books,48,77,2019-07-03
Computers & Electronics/Enterprise Technology/Data Management,26,51,2019-07-03
Computers & Electronics/Programming,10,18,2019-07-03
Computers & Electronics/Programming/Scripting Languages,50,101,2019-07-03
Food & Drink/Restaurants,17,26,2019-07-03
Games/Computer & Video Games/Action & Platform Games,18,26,2019-07-03
Games/Computer & Video Games/Browser Games,12,20,2019-07-03
Games/Computer & Video Games/Massively Multiplayer Games,10,12,2019-07-03
Games/Computer & Video Games/Strategy Games,22,31,2019-07-03
Games/Roleplaying Games,24,41,2019-07-03
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,10,13,2019-07-03
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,21,33,2019-07-03
Internet & Telecom/Search Engines,24,30,2019-07-03
Internet & Telecom/Web Portals,29,37,2019-07-03
Jobs & Education/Education/Colleges & Universities,19,29,2019-07-03
News/Business News/Financial Markets News,32,57,2019-07-03
News/Politics/Campaigns & Elections,16,25,2019-07-03
Online Communities/Feed Aggregation & Social Bookmarking,12,19,2019-07-03
Online Communities/Social Networks,20,31,2019-07-03
Reference/General Reference/Dictionaries & Encyclopedias,22,39,2019-07-03
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,20,36,2019-07-03
Science/Computer Science/Machine Learning & Artificial Intelligence,45,87,2019-07-03
Science/Mathematics/Statistics,48,103,2019-07-03
Sports/Team Sports/Baseball,20,35,2019-07-03
Sports/Team Sports/Basketball,33,48,2019-07-03
Travel/Air Travel,17,25,2019-07-03
Travel/Hotels & Accommodations,11,19,2019-07-03
Travel/Travel Agencies & Services,11,15,2019-07-03
Arts & Entertainment/Celebrities & Entertainment News,15,17,2019-07-04
Arts & Entertainment/Comics & Animation/Anime & Manga,35,62,2019-07-04
Arts & Entertainment/Music & Audio/Music Videos,13,24,2019-07-04
Arts & Entertainment/Music & Audio/Pop Music,45,74,2019-07-04
Arts & Entertainment/Music & Audio/World Music/East Asian Music,52,88,2019-07-04
Arts & Entertainment/TV & Video/Online Video,52,85,2019-07-04
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,22,2019-07-04
Books & Literature/E-Books,47,75,2019-07-04
Computers & Electronics/Electronics & Electrical/Electronic Components,10,15,2019-07-04
Computers & Electronics/Enterprise Technology/Data Management,27,41,2019-07-04
Computers & Electronics/Programming/Scripting Languages,48,70,2019-07-04
Food & Drink/Restaurants,18,29,2019-07-04
Games/Computer & Video Games/Action & Platform Games,18,28,2019-07-04
Games/Computer & Video Games/Strategy Games,19,37,2019-07-04
Games/Roleplaying Games,22,29,2019-07-04
Internet & Telecom/Email & Messaging,11,22,2019-07-04
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,14,21,2019-07-04
Internet & Telecom/Search Engines,26,41,2019-07-04
Internet & Telecom/Web Portals,25,40,2019-07-04
Jobs & Education/Education/Colleges & Universities,24,44,2019-07-04
Jobs & Education/Education/Standardized & Admissions Tests,10,17,2019-07-04
Jobs & Education/Jobs/Job Listings,10,19,2019-07-04
News/Business News/Financial Markets News,22,29,2019-07-04
News/Politics/Campaigns & Elections,14,28,2019-07-04
Online Communities/Feed Aggregation & Social Bookmarking,15,25,2019-07-04
Online Communities/Social Networks,21,33,2019-07-04
Reference/General Reference/Dictionaries & Encyclopedias,17,22,2019-07-04
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,13,23,2019-07-04
Science/Computer Science/Machine Learning & Artificial Intelligence,54,83,2019-07-04
Science/Mathematics,12,19,2019-07-04
Science/Mathematics/Statistics,46,77,2019-07-04
Sports/Team Sports/Baseball,20,32,2019-07-04
Sports/Team Sports/Basketball,26,38,2019-07-04
Travel/Air Travel,24,32,2019-07-04
Arts & Entertainment/Celebrities & Entertainment News,16,23,2019-07-05
Arts & Entertainment/Comics & Animation/Anime & Manga,26,43,2019-07-05
Arts & Entertainment/Music & Audio/Pop Music,40,70,2019-07-05
Arts & Entertainment/Music & Audio/World Music/East Asian Music,44,75,2019-07-05
Arts & Entertainment/TV & Video/Online Video,47,87,2019-07-05
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,29,2019-07-05
Books & Literature/E-Books,45,72,2019-07-05
Computers & Electronics/Enterprise Technology/Data Management,19,34,2019-07-05
Computers & Electronics/Programming/Scripting Languages,41,67,2019-07-05
Food & Drink/Restaurants,13,16,2019-07-05
Games/Computer & Video Games/Strategy Games,15,27,2019-07-05
Games/Roleplaying Games,16,30,2019-07-05
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,14,21,2019-07-05
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,18,2019-07-05
Internet & Telecom/Search Engines,29,41,2019-07-05
Internet & Telecom/Web Portals,34,48,2019-07-05
Internet & Telecom/Web Services/Web Design & Development,12,18,2019-07-05
Jobs & Education/Education/Colleges & Universities,13,25,2019-07-05
News/Business News/Financial Markets News,29,38,2019-07-05
News/Politics/Campaigns & Elections,13,23,2019-07-05
Online Communities/Social Networks,19,32,2019-07-05
Reference/General Reference/Dictionaries & Encyclopedias,19,31,2019-07-05
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,14,28,2019-07-05
Science/Computer Science/Machine Learning & Artificial Intelligence,40,74,2019-07-05
Science/Mathematics/Statistics,35,68,2019-07-05
Sports/Team Sports/Baseball,14,25,2019-07-05
Sports/Team Sports/Basketball,28,47,2019-07-05
Travel/Air Travel,12,21,2019-07-05
Arts & Entertainment/Celebrities & Entertainment News,16,33,2019-07-06
Arts & Entertainment/Comics & Animation/Anime & Manga,30,61,2019-07-06
Arts & Entertainment/Music & Audio/Pop Music,34,63,2019-07-06
Arts & Entertainment/Music & Audio/World Music/East Asian Music,35,73,2019-07-06
Arts & Entertainment/TV & Video/Online Video,42,82,2019-07-06
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,15,31,2019-07-06
Books & Literature/E-Books,36,73,2019-07-06
Computers & Electronics/Enterprise Technology/Data Management,15,36,2019-07-06
Computers & Electronics/Programming/Scripting Languages,34,78,2019-07-06
Food & Drink/Restaurants,10,16,2019-07-06
Games/Computer & Video Games/Strategy Games,12,20,2019-07-06
Games/Roleplaying Games,17,41,2019-07-06
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,10,24,2019-07-06
Internet & Telecom/Search Engines,16,31,2019-07-06
Internet & Telecom/Web Portals,23,48,2019-07-06
Jobs & Education/Education/Colleges & Universities,11,19,2019-07-06
News/Business News/Financial Markets News,22,32,2019-07-06
Online Communities/Social Networks,18,35,2019-07-06
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,12,24,2019-07-06
Science/Computer Science/Machine Learning & Artificial Intelligence,32,70,2019-07-06
Science/Mathematics/Statistics,28,70,2019-07-06
Sports/Team Sports/Baseball,12,19,2019-07-06
Sports/Team Sports/Basketball,21,46,2019-07-06
Travel/Air Travel,17,35,2019-07-06
