interestOtherCategory,vistornum,sessionnum,logdate
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,20,25,2019-07-09
Science/Computer Science/Machine Learning & Artificial Intelligence,58,111,2019-07-09
Science/Mathematics/Statistics,44,89,2019-07-09
Sports/Team Sports/Baseball,21,50,2019-07-09
Sports/Team Sports/Basketball,24,45,2019-07-09
Travel/Air Travel,18,27,2019-07-09
Travel/Hotels & Accommodations,10,24,2019-07-09
Arts & Entertainment/Celebrities & Entertainment News,20,32,2019-07-10
Arts & Entertainment/Comics & Animation/Anime & Manga,44,69,2019-07-10
Arts & Entertainment/Music & Audio/Pop Music,57,94,2019-07-10
Arts & Entertainment/Music & Audio/World Music/East Asian Music,54,96,2019-07-10
Arts & Entertainment/TV & Video/Online Video,67,106,2019-07-10
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,17,27,2019-07-10
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talent & Variety Shows,11,16,2019-07-10
Books & Literature/E-Books,47,85,2019-07-10
Computers & Electronics/Enterprise Technology/Data Management,28,47,2019-07-10
Computers & Electronics/Programming/Java (Programming Language),12,20,2019-07-10
Computers & Electronics/Programming/Scripting Languages,64,114,2019-07-10
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,10,18,2019-07-10
Computers & Electronics/Software/Freeware & Shareware,10,13,2019-07-10
Food & Drink/Restaurants,19,28,2019-07-10
Games/Computer & Video Games/Strategy Games,12,18,2019-07-10
Games/Roleplaying Games,18,35,2019-07-10
Internet & Telecom/Email & Messaging,17,25,2019-07-10
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,21,32,2019-07-10
Internet & Telecom/Search Engines,28,35,2019-07-10
Internet & Telecom/Web Portals,30,38,2019-07-10
Internet & Telecom/Web Services/Web Design & Development,18,26,2019-07-10
Jobs & Education/Education/Colleges & Universities,22,32,2019-07-10
Jobs & Education/Jobs/Job Listings,11,17,2019-07-10
News/Business News/Financial Markets News,31,50,2019-07-10
News/Politics/Campaigns & Elections,16,23,2019-07-10
Online Communities/Feed Aggregation & Social Bookmarking,11,17,2019-07-10
Online Communities/Online Goodies/Clip Art & Animated GIFs,10,12,2019-07-10
Online Communities/Social Networks,20,30,2019-07-10
Reference/General Reference/Dictionaries & Encyclopedias,24,39,2019-07-10
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,16,28,2019-07-10
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,17,27,2019-07-10
Science/Computer Science/Machine Learning & Artificial Intelligence,60,108,2019-07-10
Science/Mathematics,12,17,2019-07-10
Science/Mathematics/Statistics,54,92,2019-07-10
Sports/Team Sports/Baseball,21,37,2019-07-10
Sports/Team Sports/Basketball,28,48,2019-07-10
Travel/Air Travel,21,42,2019-07-10
Travel/Hotels & Accommodations,12,20,2019-07-10
Travel/Travel Agencies & Services,11,19,2019-07-10
Arts & Entertainment/Celebrities & Entertainment News,30,44,2019-07-11
Arts & Entertainment/Comics & Animation/Anime & Manga,37,52,2019-07-11
Arts & Entertainment/Music & Audio/Pop Music,45,76,2019-07-11
Arts & Entertainment/Music & Audio/World Music/East Asian Music,50,78,2019-07-11
Arts & Entertainment/TV & Video/Online Video,55,83,2019-07-11
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,28,35,2019-07-11
Books & Literature/E-Books,58,73,2019-07-11
Computers & Electronics/Enterprise Technology/Data Management,11,23,2019-07-11
Computers & Electronics/Programming,10,19,2019-07-11
Computers & Electronics/Programming/Scripting Languages,31,54,2019-07-11
Food & Drink/Restaurants,23,30,2019-07-11
Games/Computer & Video Games/Strategy Games,11,16,2019-07-11
Games/Roleplaying Games,20,30,2019-07-11
Internet & Telecom/Email & Messaging,12,17,2019-07-11
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,15,18,2019-07-11
Internet & Telecom/Search Engines,22,32,2019-07-11
Internet & Telecom/Web Portals,29,43,2019-07-11
Internet & Telecom/Web Services/Web Design & Development,19,33,2019-07-11
Jobs & Education/Education/Colleges & Universities,20,23,2019-07-11
Jobs & Education/Jobs/Job Listings,12,15,2019-07-11
News/Business News/Financial Markets News,25,45,2019-07-11
News/Politics,11,14,2019-07-11
News/Politics/Campaigns & Elections,18,37,2019-07-11
News/Weather,11,12,2019-07-11
Online Communities/Social Networks,18,26,2019-07-11
People & Society/Social Issues & Advocacy/Work & Labor Issues/Unions & Labor Movement,11,17,2019-07-11
Reference/General Reference/Dictionaries & Encyclopedias,17,22,2019-07-11
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,19,28,2019-07-11
Science/Computer Science/Machine Learning & Artificial Intelligence,37,64,2019-07-11
Science/Mathematics,14,19,2019-07-11
Science/Mathematics/Statistics,25,49,2019-07-11
Sports/Team Sports/Baseball,18,27,2019-07-11
Sports/Team Sports/Basketball,33,44,2019-07-11
Travel/Air Travel,35,52,2019-07-11
Travel/Hotels & Accommodations,12,24,2019-07-11
Travel/Travel Agencies & Services,10,26,2019-07-11
Arts & Entertainment/Celebrities & Entertainment News,17,26,2019-07-12
Arts & Entertainment/Comics & Animation/Anime & Manga,27,50,2019-07-12
Arts & Entertainment/Music & Audio/Pop Music,34,70,2019-07-12
Arts & Entertainment/Music & Audio/World Music/East Asian Music,38,85,2019-07-12
Arts & Entertainment/TV & Video/Online Video,38,74,2019-07-12
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,15,24,2019-07-12
Books & Literature/E-Books,40,64,2019-07-12
Computers & Electronics/Enterprise Technology/Data Management,10,26,2019-07-12
Computers & Electronics/Programming,10,14,2019-07-12
Computers & Electronics/Programming/Scripting Languages,34,72,2019-07-12
Food & Drink/Restaurants,18,35,2019-07-12
Games/Roleplaying Games,15,22,2019-07-12
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,11,16,2019-07-12
Internet & Telecom/Search Engines,16,23,2019-07-12
Internet & Telecom/Web Portals,24,35,2019-07-12
Internet & Telecom/Web Services/Web Design & Development,13,28,2019-07-12
Jobs & Education/Education/Colleges & Universities,11,14,2019-07-12
News/Business News/Financial Markets News,22,34,2019-07-12
News/Politics/Campaigns & Elections,18,30,2019-07-12
Online Communities/Social Networks,11,15,2019-07-12
Reference/General Reference/Dictionaries & Encyclopedias,17,28,2019-07-12
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,15,29,2019-07-12
Science/Computer Science/Machine Learning & Artificial Intelligence,34,66,2019-07-12
Science/Mathematics,11,26,2019-07-12
Science/Mathematics/Statistics,20,39,2019-07-12
Sports/Team Sports/Baseball,12,17,2019-07-12
Sports/Team Sports/Basketball,21,39,2019-07-12
Travel/Air Travel,32,45,2019-07-12
Arts & Entertainment/Celebrities & Entertainment News,11,17,2019-07-13
Arts & Entertainment/Comics & Animation/Anime & Manga,23,46,2019-07-13
Arts & Entertainment/Music & Audio/Pop Music,30,49,2019-07-13
Arts & Entertainment/Music & Audio/World Music/East Asian Music,31,55,2019-07-13
Arts & Entertainment/TV & Video/Online Video,25,58,2019-07-13
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,16,35,2019-07-13
Books & Literature/E-Books,23,38,2019-07-13
Computers & Electronics/Programming/Scripting Languages,23,57,2019-07-13
Food & Drink/Restaurants,15,26,2019-07-13
Internet & Telecom/Search Engines,15,21,2019-07-13
Internet & Telecom/Web Portals,17,25,2019-07-13
Jobs & Education/Education/Colleges & Universities,11,23,2019-07-13
News/Business News/Financial Markets News,14,33,2019-07-13
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,12,20,2019-07-13
Science/Computer Science/Machine Learning & Artificial Intelligence,28,62,2019-07-13
Science/Mathematics/Statistics,15,32,2019-07-13
Sports/Team Sports/Basketball,11,19,2019-07-13
Travel/Air Travel,14,23,2019-07-13
Travel/Travel Agencies & Services,10,17,2019-07-13
