interestOtherCategory,vistornum,sessionnum,logdate
Reference/General Reference/Dictionaries & Encyclopedias,33,55,2019-06-03
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,15,37,2019-06-03
Science/Computer Science/Machine Learning & Artificial Intelligence,52,103,2019-06-03
Science/Mathematics,19,35,2019-06-03
Science/Mathematics/Statistics,93,198,2019-06-03
Sports/Team Sports/Baseball,26,36,2019-06-03
Sports/Team Sports/Basketball,40,76,2019-06-03
Travel/Hotels & Accommodations,11,22,2019-06-03
Travel/Travel Agencies & Services,14,24,2019-06-03
Arts & Entertainment/Celebrities & Entertainment News,29,51,2019-06-04
Arts & Entertainment/Comics & Animation/Anime & Manga,40,72,2019-06-04
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,16,25,2019-06-04
Arts & Entertainment/Music & Audio/Music Videos,10,15,2019-06-04
Arts & Entertainment/Music & Audio/Pop Music,60,118,2019-06-04
Arts & Entertainment/Music & Audio/World Music/East Asian Music,60,118,2019-06-04
Arts & Entertainment/TV & Video/Online Video,69,118,2019-06-04
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,40,67,2019-06-04
Books & Literature/E-Books,49,86,2019-06-04
Business & Industrial/Advertising & Marketing,41,66,2019-06-04
Computers & Electronics/Enterprise Technology/Data Management,29,55,2019-06-04
Computers & Electronics/Programming,10,15,2019-06-04
Computers & Electronics/Programming/C & C++,12,23,2019-06-04
Computers & Electronics/Programming/Development Tools,12,27,2019-06-04
Computers & Electronics/Programming/Java (Programming Language),12,18,2019-06-04
Computers & Electronics/Programming/Scripting Languages,99,178,2019-06-04
Food & Drink/Restaurants,28,46,2019-06-04
Games/Computer & Video Games/Action & Platform Games,12,24,2019-06-04
Games/Computer & Video Games/Strategy Games,16,34,2019-06-04
Games/Roleplaying Games,25,41,2019-06-04
Internet & Telecom/Email & Messaging,23,45,2019-06-04
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,14,28,2019-06-04
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,16,25,2019-06-04
Internet & Telecom/Search Engines,22,43,2019-06-04
Internet & Telecom/Web Portals,31,55,2019-06-04
Internet & Telecom/Web Services/Web Design & Development,22,48,2019-06-04
Jobs & Education/Education/Colleges & Universities,33,52,2019-06-04
Jobs & Education/Education/Computer Education,11,19,2019-06-04
Jobs & Education/Jobs/Job Listings,10,11,2019-06-04
News/Business News/Financial Markets News,30,53,2019-06-04
News/Politics/Campaigns & Elections,15,30,2019-06-04
Online Communities/Social Networks,26,43,2019-06-04
Reference/General Reference/Dictionaries & Encyclopedias,25,36,2019-06-04
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,31,2019-06-04
Science/Computer Science/Machine Learning & Artificial Intelligence,40,70,2019-06-04
Science/Mathematics,15,18,2019-06-04
Science/Mathematics/Statistics,80,142,2019-06-04
Sports/Team Sports/Baseball,15,25,2019-06-04
Sports/Team Sports/Basketball,26,44,2019-06-04
Travel/Hotels & Accommodations,11,21,2019-06-04
Travel/Travel Agencies & Services,10,17,2019-06-04
Arts & Entertainment/Celebrities & Entertainment News,31,49,2019-06-05
Arts & Entertainment/Comics & Animation/Anime & Manga,40,73,2019-06-05
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,21,36,2019-06-05
Arts & Entertainment/Music & Audio/Music Videos,12,19,2019-06-05
Arts & Entertainment/Music & Audio/Pop Music,60,110,2019-06-05
Arts & Entertainment/Music & Audio/World Music/East Asian Music,62,116,2019-06-05
Arts & Entertainment/TV & Video/Online Video,65,111,2019-06-05
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,35,62,2019-06-05
Books & Literature/E-Books,43,69,2019-06-05
Business & Industrial/Advertising & Marketing,50,74,2019-06-05
Computers & Electronics/Enterprise Technology/Data Management,39,61,2019-06-05
Computers & Electronics/Programming/C & C++,11,18,2019-06-05
Computers & Electronics/Programming/Java (Programming Language),14,24,2019-06-05
Computers & Electronics/Programming/Scripting Languages,95,169,2019-06-05
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,13,20,2019-06-05
Computers & Electronics/Software/Operating Systems/Linux & Unix,11,20,2019-06-05
Food & Drink/Restaurants,21,36,2019-06-05
Games/Computer & Video Games/Action & Platform Games,13,26,2019-06-05
Games/Computer & Video Games/Strategy Games,14,21,2019-06-05
Games/Roleplaying Games,19,36,2019-06-05
Internet & Telecom/Email & Messaging,32,55,2019-06-05
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,25,31,2019-06-05
Internet & Telecom/Search Engines,25,39,2019-06-05
Internet & Telecom/Web Portals,32,58,2019-06-05
Internet & Telecom/Web Services/Web Design & Development,22,31,2019-06-05
Jobs & Education/Education/Colleges & Universities,30,50,2019-06-05
Jobs & Education/Education/Computer Education,16,27,2019-06-05
Jobs & Education/Education/Standardized & Admissions Tests,10,18,2019-06-05
Jobs & Education/Jobs/Job Listings,10,15,2019-06-05
News/Business News/Financial Markets News,37,63,2019-06-05
News/Politics,15,25,2019-06-05
News/Politics/Campaigns & Elections,14,27,2019-06-05
Online Communities/Online Goodies/Clip Art & Animated GIFs,10,19,2019-06-05
Online Communities/Social Networks,25,56,2019-06-05
Reference/General Reference/Dictionaries & Encyclopedias,27,45,2019-06-05
"Reference/General Reference/How-To, DIY & Expert Content",11,15,2019-06-05
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,20,2019-06-05
Science/Computer Science/Machine Learning & Artificial Intelligence,40,66,2019-06-05
Science/Mathematics,13,21,2019-06-05
Science/Mathematics/Statistics,82,136,2019-06-05
Sports/Team Sports/Baseball,20,32,2019-06-05
Sports/Team Sports/Basketball,34,60,2019-06-05
Travel/Hotels & Accommodations,12,21,2019-06-05
Travel/Travel Agencies & Services,12,17,2019-06-05
Arts & Entertainment/Celebrities & Entertainment News,28,30,2019-06-06
Arts & Entertainment/Comics & Animation/Anime & Manga,28,46,2019-06-06
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,14,20,2019-06-06
Arts & Entertainment/Music & Audio/Pop Music,50,77,2019-06-06
Arts & Entertainment/Music & Audio/World Music/East Asian Music,47,63,2019-06-06
Arts & Entertainment/TV & Video/Online Video,50,75,2019-06-06
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,34,54,2019-06-06
Books & Literature/E-Books,41,54,2019-06-06
Business & Industrial/Advertising & Marketing,24,32,2019-06-06
Computers & Electronics/Enterprise Technology/Data Management,19,32,2019-06-06
Computers & Electronics/Programming/Scripting Languages,56,86,2019-06-06
Finance/Accounting & Auditing/Tax Preparation & Planning,11,15,2019-06-06
Food & Drink/Restaurants,26,38,2019-06-06
Games/Roleplaying Games,23,33,2019-06-06
Internet & Telecom/Email & Messaging,23,34,2019-06-06
Internet & Telecom/Search Engines,28,37,2019-06-06
Internet & Telecom/Web Portals,33,44,2019-06-06
Internet & Telecom/Web Services/Web Design & Development,14,18,2019-06-06
Jobs & Education/Education/Colleges & Universities,17,25,2019-06-06
News/Business News/Financial Markets News,32,42,2019-06-06
News/Politics,13,20,2019-06-06
News/Politics/Campaigns & Elections,14,20,2019-06-06
Online Communities/Social Networks,21,26,2019-06-06
Reference/General Reference/Dictionaries & Encyclopedias,16,31,2019-06-06
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,17,19,2019-06-06
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,10,17,2019-06-06
Science/Computer Science/Machine Learning & Artificial Intelligence,28,47,2019-06-06
Science/Mathematics/Statistics,40,67,2019-06-06
Sports/Team Sports/Baseball,15,21,2019-06-06
Sports/Team Sports/Basketball,24,30,2019-06-06
Travel/Hotels & Accommodations,11,15,2019-06-06
Arts & Entertainment/Celebrities & Entertainment News,12,21,2019-06-07
Arts & Entertainment/Comics & Animation/Anime & Manga,20,33,2019-06-07
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,11,16,2019-06-07
Arts & Entertainment/Music & Audio/Pop Music,26,49,2019-06-07
Arts & Entertainment/Music & Audio/World Music/East Asian Music,23,47,2019-06-07
Arts & Entertainment/TV & Video/Online Video,37,68,2019-06-07
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,23,41,2019-06-07
Books & Literature/E-Books,25,40,2019-06-07
Business & Industrial/Advertising & Marketing,18,28,2019-06-07
Computers & Electronics/Enterprise Technology/Data Management,12,30,2019-06-07
Computers & Electronics/Programming/Scripting Languages,35,82,2019-06-07
Food & Drink/Restaurants,13,22,2019-06-07
Games/Roleplaying Games,14,19,2019-06-07
Internet & Telecom/Email & Messaging,10,20,2019-06-07
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,12,14,2019-06-07
Internet & Telecom/Web Portals,11,23,2019-06-07
News/Business News/Financial Markets News,16,28,2019-06-07
Online Communities/Social Networks,12,22,2019-06-07
Science/Computer Science/Machine Learning & Artificial Intelligence,20,48,2019-06-07
Science/Mathematics/Statistics,29,64,2019-06-07
Sports/Team Sports/Baseball,12,21,2019-06-07
Sports/Team Sports/Basketball,11,19,2019-06-07
Arts & Entertainment/Celebrities & Entertainment News,15,31,2019-06-08
Arts & Entertainment/Comics & Animation/Anime & Manga,16,30,2019-06-08
Arts & Entertainment/Music & Audio/Pop Music,23,57,2019-06-08
Arts & Entertainment/Music & Audio/World Music/East Asian Music,21,54,2019-06-08
Arts & Entertainment/TV & Video/Online Video,26,62,2019-06-08
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,18,42,2019-06-08
Books & Literature/E-Books,23,54,2019-06-08
Business & Industrial/Advertising & Marketing,17,40,2019-06-08
Computers & Electronics/Enterprise Technology/Data Management,11,37,2019-06-08
Computers & Electronics/Programming/Scripting Languages,26,65,2019-06-08
Food & Drink/Restaurants,13,16,2019-06-08
Games/Computer & Video Games/Action & Platform Games,10,16,2019-06-08
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,10,16,2019-06-08
Internet & Telecom/Search Engines,10,26,2019-06-08
Internet & Telecom/Web Portals,10,28,2019-06-08
Online Communities/Social Networks,10,17,2019-06-08
Science/Computer Science/Machine Learning & Artificial Intelligence,13,46,2019-06-08
Science/Mathematics/Statistics,21,71,2019-06-08
Arts & Entertainment/Celebrities & Entertainment News,15,27,2019-06-09
Arts & Entertainment/Comics & Animation/Anime & Manga,18,27,2019-06-09
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,10,11,2019-06-09
Arts & Entertainment/Music & Audio/Pop Music,24,55,2019-06-09
Arts & Entertainment/Music & Audio/World Music/East Asian Music,26,49,2019-06-09
Arts & Entertainment/TV & Video/Online Video,28,60,2019-06-09
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,22,38,2019-06-09
Books & Literature/E-Books,21,32,2019-06-09
Business & Industrial/Advertising & Marketing,19,33,2019-06-09
Computers & Electronics/Enterprise Technology/Data Management,14,40,2019-06-09
Computers & Electronics/Programming/Scripting Languages,27,75,2019-06-09
Food & Drink/Restaurants,15,28,2019-06-09
Games/Roleplaying Games,12,18,2019-06-09
Internet & Telecom/Search Engines,14,33,2019-06-09
Internet & Telecom/Web Portals,19,40,2019-06-09
Jobs & Education/Education/Colleges & Universities,13,24,2019-06-09
News/Business News/Financial Markets News,13,33,2019-06-09
Online Communities/Social Networks,11,29,2019-06-09
Science/Computer Science/Machine Learning & Artificial Intelligence,15,55,2019-06-09
Science/Mathematics/Statistics,27,80,2019-06-09
Arts & Entertainment/Celebrities & Entertainment News,24,42,2019-06-10
Arts & Entertainment/Comics & Animation/Anime & Manga,27,41,2019-06-10
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,16,26,2019-06-10
Arts & Entertainment/Music & Audio/Pop Music,43,78,2019-06-10
Arts & Entertainment/Music & Audio/World Music/East Asian Music,43,74,2019-06-10
Arts & Entertainment/TV & Video/Online Video,44,62,2019-06-10
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,35,54,2019-06-10
Books & Literature/E-Books,50,76,2019-06-10
Business & Industrial/Advertising & Marketing,27,38,2019-06-10
Computers & Electronics/Computer Hardware/Laptops & Notebooks,11,14,2019-06-10
Computers & Electronics/Enterprise Technology/Data Management,24,31,2019-06-10
Computers & Electronics/Programming/Scripting Languages,60,101,2019-06-10
Food & Drink/Restaurants,24,32,2019-06-10
Games/Roleplaying Games,20,29,2019-06-10
Internet & Telecom/Email & Messaging,22,39,2019-06-10
Internet & Telecom/Search Engines,20,36,2019-06-10
Internet & Telecom/Web Portals,27,50,2019-06-10
Internet & Telecom/Web Services/Web Design & Development,11,19,2019-06-10
Jobs & Education/Education/Colleges & Universities,24,38,2019-06-10
News/Business News/Financial Markets News,31,41,2019-06-10
News/Politics/Campaigns & Elections,22,33,2019-06-10
Online Communities/Social Networks,18,33,2019-06-10
Reference/General Reference/Dictionaries & Encyclopedias,19,24,2019-06-10
Science/Computer Science/Machine Learning & Artificial Intelligence,35,63,2019-06-10
Science/Mathematics,13,21,2019-06-10
Science/Mathematics/Statistics,41,69,2019-06-10
Sports/Team Sports/Baseball,13,22,2019-06-10
Sports/Team Sports/Basketball,23,44,2019-06-10
Arts & Entertainment/Celebrities & Entertainment News,18,33,2019-06-11
Arts & Entertainment/Comics & Animation/Anime & Manga,23,44,2019-06-11
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,19,34,2019-06-11
Arts & Entertainment/Music & Audio/Pop Music,43,80,2019-06-11
Arts & Entertainment/Music & Audio/World Music/East Asian Music,39,67,2019-06-11
Arts & Entertainment/TV & Video/Online Video,48,81,2019-06-11
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,29,61,2019-06-11
Books & Literature/E-Books,38,67,2019-06-11
Business & Industrial/Advertising & Marketing,31,44,2019-06-11
Computers & Electronics/Enterprise Technology/Data Management,21,32,2019-06-11
Computers & Electronics/Programming,10,14,2019-06-11
Computers & Electronics/Programming/Scripting Languages,49,84,2019-06-11
Food & Drink/Restaurants,25,37,2019-06-11
Games/Computer & Video Games/Strategy Games,10,13,2019-06-11
Games/Roleplaying Games,19,37,2019-06-11
Internet & Telecom/Email & Messaging,16,31,2019-06-11
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,18,31,2019-06-11
Internet & Telecom/Search Engines,22,42,2019-06-11
Internet & Telecom/Web Portals,29,56,2019-06-11
Internet & Telecom/Web Services/Web Design & Development,12,21,2019-06-11
Jobs & Education/Education/Colleges & Universities,16,33,2019-06-11
News/Business News/Financial Markets News,20,32,2019-06-11
News/Politics/Campaigns & Elections,19,29,2019-06-11
Online Communities/Social Networks,15,24,2019-06-11
Reference/General Reference/Dictionaries & Encyclopedias,16,34,2019-06-11
Science/Computer Science/Machine Learning & Artificial Intelligence,36,71,2019-06-11
Science/Mathematics/Statistics,40,77,2019-06-11
Sports/Team Sports/Baseball,12,18,2019-06-11
Sports/Team Sports/Basketball,18,37,2019-06-11
Travel/Air Travel,10,15,2019-06-11
Arts & Entertainment/Celebrities & Entertainment News,18,31,2019-06-12
Arts & Entertainment/Comics & Animation/Anime & Manga,24,44,2019-06-12
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,21,28,2019-06-12
Arts & Entertainment/Music & Audio/Pop Music,45,82,2019-06-12
Arts & Entertainment/Music & Audio/World Music/East Asian Music,48,87,2019-06-12
Arts & Entertainment/TV & Video/Online Video,41,73,2019-06-12
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,25,42,2019-06-12
Books & Literature/E-Books,36,69,2019-06-12
Business & Industrial/Advertising & Marketing,28,46,2019-06-12
Computers & Electronics/Enterprise Technology/Data Management,24,44,2019-06-12
Computers & Electronics/Programming/Scripting Languages,50,109,2019-06-12
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,12,24,2019-06-12
Food & Drink/Restaurants,26,35,2019-06-12
Games/Computer & Video Games/Strategy Games,16,32,2019-06-12
Games/Roleplaying Games,19,43,2019-06-12
Internet & Telecom/Email & Messaging,17,31,2019-06-12
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,18,38,2019-06-12
Internet & Telecom/Search Engines,21,35,2019-06-12
Internet & Telecom/Web Portals,30,53,2019-06-12
Internet & Telecom/Web Services/Web Design & Development,11,17,2019-06-12
Jobs & Education/Education/Colleges & Universities,22,36,2019-06-12
News/Business News/Financial Markets News,32,51,2019-06-12
News/Politics/Campaigns & Elections,17,25,2019-06-12
Online Communities/Social Networks,20,42,2019-06-12
Reference/General Reference/Dictionaries & Encyclopedias,13,20,2019-06-12
Reference/Language Resources/Foreign Language Resources/Foreign Language Study,14,23,2019-06-12
Science/Computer Science/Machine Learning & Artificial Intelligence,34,65,2019-06-12
Science/Mathematics/Statistics,41,82,2019-06-12
Sports/Team Sports/Baseball,19,29,2019-06-12
Sports/Team Sports/Basketball,22,33,2019-06-12
Arts & Entertainment/Celebrities & Entertainment News,20,32,2019-06-13
Arts & Entertainment/Comics & Animation/Anime & Manga,23,35,2019-06-13
Arts & Entertainment/Music & Audio/Pop Music,44,72,2019-06-13
Arts & Entertainment/Music & Audio/World Music/East Asian Music,48,87,2019-06-13
Arts & Entertainment/TV & Video/Online Video,35,50,2019-06-13
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,22,34,2019-06-13
Books & Literature/E-Books,41,65,2019-06-13
Business & Industrial/Advertising & Marketing,25,51,2019-06-13
Computers & Electronics/Enterprise Technology/Data Management,24,47,2019-06-13
Computers & Electronics/Programming,15,28,2019-06-13
Computers & Electronics/Programming/Scripting Languages,47,86,2019-06-13
Computers & Electronics/Software/Business & Productivity Software/Spreadsheet Software,11,19,2019-06-13
Food & Drink/Restaurants,15,22,2019-06-13
Games/Computer & Video Games/Strategy Games,16,22,2019-06-13
Games/Roleplaying Games,20,37,2019-06-13
Internet & Telecom/Email & Messaging,15,25,2019-06-13
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,30,2019-06-13
Internet & Telecom/Search Engines,24,45,2019-06-13
Internet & Telecom/Web Portals,31,60,2019-06-13
Internet & Telecom/Web Services/Web Design & Development,12,20,2019-06-13
Jobs & Education/Education/Colleges & Universities,18,31,2019-06-13
News/Business News/Financial Markets News,25,44,2019-06-13
Online Communities/Social Networks,21,38,2019-06-13
Reference/General Reference/Dictionaries & Encyclopedias,16,28,2019-06-13
Reference/Language Resources/Foreign Language Resources/Translation Tools & Resources,11,20,2019-06-13
Science/Computer Science/Machine Learning & Artificial Intelligence,36,71,2019-06-13
Science/Mathematics/Statistics,38,82,2019-06-13
Sports/Team Sports/Baseball,16,24,2019-06-13
Sports/Team Sports/Basketball,22,34,2019-06-13
Arts & Entertainment/Celebrities & Entertainment News,17,34,2019-06-14
Arts & Entertainment/Comics & Animation/Anime & Manga,17,29,2019-06-14
Arts & Entertainment/Music & Audio/Pop Music,34,56,2019-06-14
Arts & Entertainment/Music & Audio/World Music/East Asian Music,31,63,2019-06-14
Arts & Entertainment/TV & Video/Online Video,23,44,2019-06-14
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,13,17,2019-06-14
Books & Literature/E-Books,26,50,2019-06-14
Business & Industrial/Advertising & Marketing,18,26,2019-06-14
Computers & Electronics/Enterprise Technology/Data Management,17,29,2019-06-14
Computers & Electronics/Programming/Scripting Languages,32,55,2019-06-14
Food & Drink/Restaurants,13,20,2019-06-14
Games/Roleplaying Games,13,30,2019-06-14
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,15,21,2019-06-14
Internet & Telecom/Search Engines,21,38,2019-06-14
Internet & Telecom/Web Portals,27,46,2019-06-14
Jobs & Education/Education/Colleges & Universities,11,14,2019-06-14
News/Business News/Financial Markets News,18,25,2019-06-14
News/Politics/Campaigns & Elections,12,14,2019-06-14
Online Communities/Social Networks,15,34,2019-06-14
Science/Computer Science/Machine Learning & Artificial Intelligence,28,48,2019-06-14
Science/Mathematics/Statistics,28,47,2019-06-14
Sports/Team Sports/Baseball,11,13,2019-06-14
Sports/Team Sports/Basketball,15,24,2019-06-14
Arts & Entertainment/Celebrities & Entertainment News,14,28,2019-06-15
Arts & Entertainment/Comics & Animation/Anime & Manga,25,37,2019-06-15
Arts & Entertainment/Music & Audio/Pop Music,28,48,2019-06-15
Arts & Entertainment/Music & Audio/World Music/East Asian Music,26,49,2019-06-15
Arts & Entertainment/TV & Video/Online Video,26,43,2019-06-15
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,21,32,2019-06-15
Books & Literature/E-Books,32,50,2019-06-15
Business & Industrial/Advertising & Marketing,14,20,2019-06-15
Computers & Electronics/Enterprise Technology/Data Management,17,32,2019-06-15
Computers & Electronics/Programming/Scripting Languages,33,60,2019-06-15
Food & Drink/Restaurants,14,21,2019-06-15
Games/Computer & Video Games/Strategy Games,11,16,2019-06-15
Games/Roleplaying Games,11,13,2019-06-15
Internet & Telecom/Search Engines,17,33,2019-06-15
Internet & Telecom/Web Portals,20,38,2019-06-15
Jobs & Education/Education/Colleges & Universities,14,21,2019-06-15
News/Business News/Financial Markets News,10,18,2019-06-15
Online Communities/Social Networks,19,29,2019-06-15
Reference/General Reference/Dictionaries & Encyclopedias,14,21,2019-06-15
Science/Computer Science/Machine Learning & Artificial Intelligence,23,48,2019-06-15
Science/Mathematics,10,12,2019-06-15
Science/Mathematics/Statistics,27,54,2019-06-15
Sports/Team Sports/Baseball,11,15,2019-06-15
Sports/Team Sports/Basketball,13,18,2019-06-15
Arts & Entertainment/Celebrities & Entertainment News,12,20,2019-06-16
Arts & Entertainment/Comics & Animation/Anime & Manga,23,40,2019-06-16
Arts & Entertainment/Music & Audio/Pop Music,29,56,2019-06-16
Arts & Entertainment/Music & Audio/World Music/East Asian Music,33,56,2019-06-16
Arts & Entertainment/TV & Video/Online Video,26,36,2019-06-16
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,20,35,2019-06-16
Books & Literature/E-Books,26,56,2019-06-16
Business & Industrial/Advertising & Marketing,16,27,2019-06-16
Computers & Electronics/Enterprise Technology/Data Management,15,32,2019-06-16
Computers & Electronics/Programming/Scripting Languages,32,71,2019-06-16
Food & Drink/Restaurants,11,21,2019-06-16
Games/Computer & Video Games/Strategy Games,10,22,2019-06-16
Games/Roleplaying Games,20,31,2019-06-16
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,13,18,2019-06-16
Internet & Telecom/Search Engines,22,44,2019-06-16
Internet & Telecom/Web Portals,27,47,2019-06-16
Jobs & Education/Education/Colleges & Universities,14,26,2019-06-16
News/Business News/Financial Markets News,16,26,2019-06-16
News/Politics/Campaigns & Elections,11,12,2019-06-16
Online Communities/Social Networks,14,37,2019-06-16
Reference/General Reference/Dictionaries & Encyclopedias,11,20,2019-06-16
Science/Computer Science/Machine Learning & Artificial Intelligence,26,57,2019-06-16
Science/Mathematics/Statistics,27,60,2019-06-16
Sports/Team Sports/Basketball,14,20,2019-06-16
Arts & Entertainment/Celebrities & Entertainment News,19,28,2019-06-17
Arts & Entertainment/Comics & Animation/Anime & Manga,20,37,2019-06-17
Arts & Entertainment/Music & Audio/Pop Music,29,55,2019-06-17
Arts & Entertainment/Music & Audio/World Music/East Asian Music,35,65,2019-06-17
Arts & Entertainment/TV & Video/Online Video,31,46,2019-06-17
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,14,20,2019-06-17
Books & Literature/E-Books,35,65,2019-06-17
Business & Industrial/Advertising & Marketing,21,41,2019-06-17
Computers & Electronics/Enterprise Technology/Data Management,17,30,2019-06-17
Computers & Electronics/Programming/Scripting Languages,41,82,2019-06-17
Food & Drink/Restaurants,13,22,2019-06-17
Games/Computer & Video Games/Strategy Games,14,24,2019-06-17
Games/Roleplaying Games,19,29,2019-06-17
Internet & Telecom/Email & Messaging,13,26,2019-06-17
Internet & Telecom/Mobile & Wireless/Mobile Phones/Smart Phones,15,27,2019-06-17
Internet & Telecom/Search Engines,28,47,2019-06-17
Internet & Telecom/Web Portals,37,64,2019-06-17
Internet & Telecom/Web Services/Web Design & Development,10,13,2019-06-17
Jobs & Education/Education/Colleges & Universities,12,27,2019-06-17
News/Business News/Financial Markets News,24,47,2019-06-17
News/Politics/Campaigns & Elections,16,24,2019-06-17
Online Communities/Social Networks,18,36,2019-06-17
Reference/General Reference/Dictionaries & Encyclopedias,13,18,2019-06-17
Science/Computer Science/Machine Learning & Artificial Intelligence,28,65,2019-06-17
Science/Mathematics/Statistics,36,74,2019-06-17
Sports/Team Sports/Baseball,14,16,2019-06-17
Sports/Team Sports/Basketball,15,18,2019-06-17
Arts & Entertainment/Celebrities & Entertainment News,12,19,2019-06-18
Arts & Entertainment/Comics & Animation/Anime & Manga,17,40,2019-06-18
Arts & Entertainment/Music & Audio/Pop Music,32,70,2019-06-18
Arts & Entertainment/Music & Audio/World Music/East Asian Music,31,79,2019-06-18
Arts & Entertainment/TV & Video/Online Video,27,47,2019-06-18
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,15,22,2019-06-18
Books & Literature/E-Books,34,69,2019-06-18
Business & Industrial/Advertising & Marketing,19,41,2019-06-18
Computers & Electronics/Enterprise Technology/Data Management,31,59,2019-06-18
Computers & Electronics/Programming/Scripting Languages,45,94,2019-06-18
