medium,vistornum,sessionnum,logdate
referral,107,174,2019-08-08
(none),218,377,2019-08-09
(not set),10,22,2019-08-09
organic,113,186,2019-08-09
referral,103,172,2019-08-09
(none),177,310,2019-08-10
(not set),8,28,2019-08-10
organic,115,188,2019-08-10
referral,93,158,2019-08-10
(none),195,353,2019-08-11
(not set),11,31,2019-08-11
organic,136,213,2019-08-11
referral,90,143,2019-08-11
(none),256,498,2019-08-12
(not set),33,42,2019-08-12
organic,184,323,2019-08-12
referral,116,200,2019-08-12
(none),296,500,2019-08-13
(not set),12,21,2019-08-13
organic,176,290,2019-08-13
referral,136,216,2019-08-13
(none),231,368,2019-08-14
(not set),8,13,2019-08-14
organic,167,258,2019-08-14
referral,114,174,2019-08-14
(none),249,380,2019-08-15
(not set),10,20,2019-08-15
organic,139,237,2019-08-15
referral,123,189,2019-08-15
(none),199,295,2019-08-16
(not set),9,15,2019-08-16
organic,130,188,2019-08-16
referral,111,189,2019-08-16
(none),162,279,2019-08-17
(not set),11,31,2019-08-17
organic,108,155,2019-08-17
referral,99,147,2019-08-17
(none),181,295,2019-08-18
(not set),8,20,2019-08-18
organic,110,175,2019-08-18
referral,95,164,2019-08-18
(none),257,419,2019-08-19
(not set),10,16,2019-08-19
organic,172,271,2019-08-19
referral,153,238,2019-08-19
(none),224,348,2019-08-20
(not set),33,44,2019-08-20
organic,168,241,2019-08-20
referral,139,223,2019-08-20
(none),247,338,2019-08-21
(not set),24,30,2019-08-21
organic,153,226,2019-08-21
referral,126,190,2019-08-21
(none),228,339,2019-08-22
(not set),17,20,2019-08-22
organic,177,246,2019-08-22
referral,139,200,2019-08-22
