interestInMarketCategory,vistornum,sessionnum,logdate
Education/Post-Secondary Education,30,43,2019-07-15
Education/Post-Secondary Education/Technology Education,36,55,2019-07-15
Education/Primary & Secondary Schools (K-12),27,35,2019-07-15
Education/Test Preparation & Tutoring,23,33,2019-07-15
Employment,41,69,2019-07-15
Employment/Career Consulting Services,18,32,2019-07-15
Employment/IT & Technical Jobs,27,48,2019-07-15
Event Tickets/Sports Tickets/Baseball Tickets,10,14,2019-07-15
Financial Services/Banking Services,18,30,2019-07-15
Financial Services/Credit & Lending/Credit Cards,11,13,2019-07-15
Financial Services/Investment Services,50,74,2019-07-15
Gifts & Occasions/Holiday & Seasonal Items,14,18,2019-07-15
Home & Garden/Home Appliances,11,15,2019-07-15
Real Estate/Residential Properties,25,42,2019-07-15
Software/Antivirus & Security Software,24,42,2019-07-15
Software/Audio & Music Software,12,19,2019-07-15
Software/Business & Productivity Software,70,111,2019-07-15
Software/Design Software/Drawing & Animation Software,24,44,2019-07-15
Software/Design Software/Photo Software,26,45,2019-07-15
Telecom/Mobile Phone Service Providers,11,12,2019-07-15
Travel/Air Travel,44,71,2019-07-15
Travel/Bus & Rail Travel,18,26,2019-07-15
Travel/Hotels & Accommodations,34,50,2019-07-15
Travel/Trips by Destination/Trips to Asia-Pacific,46,71,2019-07-15
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,11,18,2019-07-15
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,12,18,2019-07-15
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,19,26,2019-07-15
Apparel & Accessories,20,23,2019-07-16
Autos & Vehicles/Motor Vehicles,19,37,2019-07-16
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,13,21,2019-07-16
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,23,2019-07-16
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,18,2019-07-16
Beauty Products & Services/Hair Care Products,10,27,2019-07-16
Business Services,17,34,2019-07-16
Business Services/Advertising & Marketing Services,79,124,2019-07-16
Business Services/Business Technology,16,28,2019-07-16
Business Services/Business Technology/Enterprise Software,53,97,2019-07-16
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,12,22,2019-07-16
Business Services/Business Technology/Network Systems & Services,18,30,2019-07-16
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,17,22,2019-07-16
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,18,37,2019-07-16
Business Services/Business Technology/Web Services/Web Design & Development,41,64,2019-07-16
Business Services/Payment Processing & Merchant Services,10,15,2019-07-16
Computers & Peripherals/Computer Accessories & Components,45,75,2019-07-16
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,16,27,2019-07-16
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,18,32,2019-07-16
Computers & Peripherals/Computers,11,20,2019-07-16
Computers & Peripherals/Computers/Laptops & Notebooks,23,40,2019-07-16
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,20,32,2019-07-16
Consumer Electronics/Game Consoles/Sony PlayStation,11,23,2019-07-16
Consumer Electronics/Mobile Phones,78,127,2019-07-16
Dating Services,22,28,2019-07-16
Education/Foreign Language Study,31,52,2019-07-16
Education/Post-Secondary Education,37,48,2019-07-16
Education/Post-Secondary Education/Technology Education,33,46,2019-07-16
Education/Primary & Secondary Schools (K-12),24,46,2019-07-16
Education/Test Preparation & Tutoring,20,37,2019-07-16
Employment,52,81,2019-07-16
Employment/Career Consulting Services,27,37,2019-07-16
Employment/IT & Technical Jobs,33,53,2019-07-16
Financial Services/Banking Services,17,29,2019-07-16
Financial Services/Credit & Lending/Credit Cards,16,19,2019-07-16
Financial Services/Investment Services,60,98,2019-07-16
Gifts & Occasions/Holiday & Seasonal Items,15,22,2019-07-16
Home & Garden/Home Appliances,11,16,2019-07-16
Real Estate/Residential Properties,26,45,2019-07-16
Software/Antivirus & Security Software,25,43,2019-07-16
Software/Business & Productivity Software,76,131,2019-07-16
Software/Design Software/Drawing & Animation Software,26,43,2019-07-16
Software/Design Software/Photo Software,23,37,2019-07-16
Software/Tax & Accounting Software,10,14,2019-07-16
Software/Video Software,15,19,2019-07-16
Telecom/Internet Service Providers,16,24,2019-07-16
Telecom/Mobile Phone Service Providers,14,18,2019-07-16
Travel/Air Travel,58,92,2019-07-16
Travel/Bus & Rail Travel,20,37,2019-07-16
Travel/Car Rental,13,25,2019-07-16
Travel/Hotels & Accommodations,43,65,2019-07-16
Travel/Trips by Destination/Trips to Asia-Pacific,55,92,2019-07-16
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,25,40,2019-07-16
Travel/Vacation Packages,11,27,2019-07-16
Apparel & Accessories,11,18,2019-07-17
Autos & Vehicles/Motor Vehicles,15,28,2019-07-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,12,25,2019-07-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,16,28,2019-07-17
Beauty Products & Services/Hair Care Products,10,11,2019-07-17
Business Services,16,28,2019-07-17
Business Services/Advertising & Marketing Services,80,137,2019-07-17
Business Services/Business Financial Services,14,25,2019-07-17
Business Services/Business Technology,18,29,2019-07-17
Business Services/Business Technology/Enterprise Software,60,106,2019-07-17
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,12,19,2019-07-17
Business Services/Business Technology/Network Systems & Services,16,29,2019-07-17
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,19,34,2019-07-17
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,14,24,2019-07-17
Business Services/Business Technology/Web Services/Web Design & Development,33,58,2019-07-17
Business Services/Business Technology/Web Services/Web Hosting,12,25,2019-07-17
Business Services/Payment Processing & Merchant Services,17,22,2019-07-17
Computers & Peripherals/Computer Accessories & Components,50,77,2019-07-17
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,13,17,2019-07-17
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,25,47,2019-07-17
Computers & Peripherals/Computers/Laptops & Notebooks,22,41,2019-07-17
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,23,2019-07-17
Consumer Electronics/Mobile Phones,67,111,2019-07-17
Dating Services,28,46,2019-07-17
Education/Foreign Language Study,37,72,2019-07-17
Education/Post-Secondary Education,42,67,2019-07-17
Education/Post-Secondary Education/Technology Education,33,66,2019-07-17
Education/Primary & Secondary Schools (K-12),30,49,2019-07-17
Education/Test Preparation & Tutoring,24,44,2019-07-17
Employment,56,99,2019-07-17
Employment/Career Consulting Services,27,44,2019-07-17
Employment/Government & Public Sector Jobs,12,17,2019-07-17
Employment/IT & Technical Jobs,34,56,2019-07-17
Financial Services/Banking Services,23,32,2019-07-17
Financial Services/Credit & Lending/Credit Cards,14,22,2019-07-17
Financial Services/Investment Services,67,109,2019-07-17
Gifts & Occasions/Holiday & Seasonal Items,13,25,2019-07-17
Real Estate/Residential Properties,31,46,2019-07-17
Software/Antivirus & Security Software,25,41,2019-07-17
Software/Business & Productivity Software,71,133,2019-07-17
Software/Design Software/Drawing & Animation Software,29,45,2019-07-17
Software/Design Software/Photo Software,31,49,2019-07-17
Software/Tax & Accounting Software,10,20,2019-07-17
Software/Video Software,19,28,2019-07-17
Sports & Fitness/Sporting Goods,11,19,2019-07-17
Telecom/Internet Service Providers,15,21,2019-07-17
Travel/Air Travel,59,109,2019-07-17
Travel/Bus & Rail Travel,17,35,2019-07-17
Travel/Car Rental,15,28,2019-07-17
Travel/Hotels & Accommodations,38,73,2019-07-17
Travel/Trips by Destination/Trips to Asia-Pacific,45,86,2019-07-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,11,18,2019-07-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,21,34,2019-07-17
Travel/Vacation Packages,10,25,2019-07-17
Apparel & Accessories,10,11,2019-07-18
Autos & Vehicles/Motor Vehicles,12,16,2019-07-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,15,22,2019-07-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,17,19,2019-07-18
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,10,10,2019-07-18
Business Services,16,25,2019-07-18
Business Services/Advertising & Marketing Services,66,103,2019-07-18
Business Services/Business Financial Services,10,17,2019-07-18
Business Services/Business Technology,15,25,2019-07-18
Business Services/Business Technology/Enterprise Software,54,83,2019-07-18
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,13,16,2019-07-18
Business Services/Business Technology/Network Systems & Services,22,36,2019-07-18
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,16,25,2019-07-18
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,13,23,2019-07-18
Business Services/Business Technology/Web Services/Web Design & Development,34,53,2019-07-18
Business Services/Business Technology/Web Services/Web Hosting,12,15,2019-07-18
Computers & Peripherals/Computer Accessories & Components,48,68,2019-07-18
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,41,2019-07-18
Computers & Peripherals/Computers,13,20,2019-07-18
Computers & Peripherals/Computers/Laptops & Notebooks,18,25,2019-07-18
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,15,21,2019-07-18
Consumer Electronics/Mobile Phones,60,86,2019-07-18
Dating Services,23,36,2019-07-18
Education/Foreign Language Study,28,50,2019-07-18
Education/Post-Secondary Education,35,55,2019-07-18
Education/Post-Secondary Education/Technology Education,34,62,2019-07-18
Education/Primary & Secondary Schools (K-12),27,33,2019-07-18
Education/Test Preparation & Tutoring,22,27,2019-07-18
Employment,57,90,2019-07-18
Employment/Career Consulting Services,24,44,2019-07-18
Employment/IT & Technical Jobs,34,55,2019-07-18
Employment/Sales & Marketing Jobs,11,17,2019-07-18
Financial Services/Banking Services,17,28,2019-07-18
Financial Services/Credit & Lending/Credit Cards,12,13,2019-07-18
Financial Services/Investment Services,53,82,2019-07-18
Gifts & Occasions/Holiday & Seasonal Items,13,22,2019-07-18
Home & Garden/Home Appliances,10,15,2019-07-18
Real Estate/Residential Properties,26,34,2019-07-18
Software/Antivirus & Security Software,22,34,2019-07-18
Software/Business & Productivity Software,58,86,2019-07-18
Software/Design Software/Drawing & Animation Software,23,34,2019-07-18
Software/Design Software/Photo Software,21,26,2019-07-18
Telecom/Mobile Phone Service Providers,11,19,2019-07-18
Travel/Air Travel,56,88,2019-07-18
Travel/Bus & Rail Travel,17,27,2019-07-18
Travel/Hotels & Accommodations,27,61,2019-07-18
Travel/Trips by Destination/Trips to Asia-Pacific,32,53,2019-07-18
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,20,30,2019-07-18
Travel/Vacation Packages,10,25,2019-07-18
Apparel & Accessories,11,15,2019-07-19
Autos & Vehicles/Motor Vehicles,18,22,2019-07-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,13,24,2019-07-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,15,21,2019-07-19
Business Services,15,18,2019-07-19
Business Services/Advertising & Marketing Services,54,85,2019-07-19
Business Services/Business Technology,13,18,2019-07-19
Business Services/Business Technology/Enterprise Software,37,59,2019-07-19
Business Services/Business Technology/Network Systems & Services,14,19,2019-07-19
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,18,22,2019-07-19
Business Services/Business Technology/Web Services/Web Design & Development,25,37,2019-07-19
Business Services/Business Technology/Web Services/Web Hosting,12,16,2019-07-19
Computers & Peripherals/Computer Accessories & Components,47,70,2019-07-19
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,11,18,2019-07-19
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,23,35,2019-07-19
Computers & Peripherals/Computers,11,16,2019-07-19
Computers & Peripherals/Computers/Laptops & Notebooks,19,35,2019-07-19
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,14,16,2019-07-19
Consumer Electronics/Mobile Phones,52,82,2019-07-19
Dating Services,18,31,2019-07-19
Education/Foreign Language Study,19,28,2019-07-19
Education/Post-Secondary Education,32,51,2019-07-19
Education/Post-Secondary Education/Technology Education,28,44,2019-07-19
Education/Primary & Secondary Schools (K-12),26,32,2019-07-19
Education/Test Preparation & Tutoring,17,25,2019-07-19
Employment,47,78,2019-07-19
Employment/Career Consulting Services,23,39,2019-07-19
Employment/IT & Technical Jobs,28,43,2019-07-19
Financial Services/Banking Services,16,26,2019-07-19
Financial Services/Investment Services,48,78,2019-07-19
Real Estate/Residential Properties,25,34,2019-07-19
Software/Antivirus & Security Software,26,37,2019-07-19
Software/Business & Productivity Software,55,85,2019-07-19
Software/Design Software/Drawing & Animation Software,19,29,2019-07-19
Software/Design Software/Photo Software,20,35,2019-07-19
Travel/Air Travel,44,75,2019-07-19
Travel/Bus & Rail Travel,14,24,2019-07-19
Travel/Hotels & Accommodations,29,54,2019-07-19
Travel/Trips by Destination/Trips to Asia-Pacific,31,46,2019-07-19
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,18,27,2019-07-19
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,11,18,2019-07-20
Business Services,11,17,2019-07-20
Business Services/Advertising & Marketing Services,43,66,2019-07-20
Business Services/Business Financial Services,11,15,2019-07-20
Business Services/Business Technology/Enterprise Software,23,43,2019-07-20
Business Services/Business Technology/Network Systems & Services,10,13,2019-07-20
Business Services/Business Technology/Web Services/Web Design & Development,11,17,2019-07-20
Computers & Peripherals/Computer Accessories & Components,34,60,2019-07-20
Computers & Peripherals/Computers/Laptops & Notebooks,14,25,2019-07-20
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,10,19,2019-07-20
Consumer Electronics/Mobile Phones,40,74,2019-07-20
Dating Services,16,28,2019-07-20
Education/Foreign Language Study,23,38,2019-07-20
Education/Post-Secondary Education,27,40,2019-07-20
Education/Post-Secondary Education/Technology Education,22,39,2019-07-20
Education/Primary & Secondary Schools (K-12),13,22,2019-07-20
Education/Test Preparation & Tutoring,13,22,2019-07-20
Employment,32,63,2019-07-20
Employment/Career Consulting Services,20,31,2019-07-20
Employment/IT & Technical Jobs,19,36,2019-07-20
Financial Services/Banking Services,15,28,2019-07-20
Financial Services/Investment Services,36,59,2019-07-20
Real Estate/Residential Properties,13,22,2019-07-20
Software/Antivirus & Security Software,13,19,2019-07-20
Software/Business & Productivity Software,37,58,2019-07-20
Software/Design Software/Drawing & Animation Software,12,20,2019-07-20
Software/Design Software/Photo Software,15,28,2019-07-20
Travel/Air Travel,37,67,2019-07-20
Travel/Bus & Rail Travel,15,25,2019-07-20
Travel/Car Rental,11,17,2019-07-20
Travel/Hotels & Accommodations,28,60,2019-07-20
Travel/Trips by Destination/Trips to Asia-Pacific,33,50,2019-07-20
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,11,18,2019-07-20
