interestInMarketCategory,vistornum,sessionnum,logdate
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,16,35,2019-07-24
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,27,58,2019-07-24
Computers & Peripherals/Computers,16,20,2019-07-24
Computers & Peripherals/Computers/Desktop Computers,14,35,2019-07-24
Computers & Peripherals/Computers/Laptops & Notebooks,33,70,2019-07-24
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,15,31,2019-07-24
Consumer Electronics/Mobile Phones,75,132,2019-07-24
Dating Services,33,43,2019-07-24
Education/Foreign Language Study,41,69,2019-07-24
Education/Post-Secondary Education,50,94,2019-07-24
Education/Post-Secondary Education/Technology Education,51,104,2019-07-24
Education/Primary & Secondary Schools (K-12),38,62,2019-07-24
Education/Test Preparation & Tutoring,22,32,2019-07-24
Employment,89,151,2019-07-24
Employment/Accounting & Finance Jobs,10,18,2019-07-24
Employment/Career Consulting Services,43,69,2019-07-24
Employment/IT & Technical Jobs,35,66,2019-07-24
Employment/Resumes & Portfolios,12,17,2019-07-24
Employment/Sales & Marketing Jobs,13,22,2019-07-24
Employment/Temporary & Seasonal Jobs,11,22,2019-07-24
Financial Services/Banking Services,26,42,2019-07-24
Financial Services/Credit & Lending,11,12,2019-07-24
Financial Services/Investment Services,75,126,2019-07-24
Gifts & Occasions/Holiday & Seasonal Items,24,34,2019-07-24
Gifts & Occasions/Wedding Planning,15,23,2019-07-24
Real Estate/Residential Properties,39,59,2019-07-24
Software/Antivirus & Security Software,25,47,2019-07-24
Software/Business & Productivity Software,95,175,2019-07-24
Software/Design Software/Drawing & Animation Software,35,75,2019-07-24
Software/Design Software/Photo Software,36,84,2019-07-24
Software/Video Software,29,64,2019-07-24
Telecom/Internet Service Providers,13,19,2019-07-24
Telecom/Mobile Phone Service Providers,13,21,2019-07-24
Travel/Air Travel,79,129,2019-07-24
Travel/Bus & Rail Travel,22,35,2019-07-24
Travel/Car Rental,14,22,2019-07-24
Travel/Hotels & Accommodations,42,66,2019-07-24
Travel/Trips by Destination/Trips to Asia-Pacific,58,94,2019-07-24
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,11,16,2019-07-24
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,29,42,2019-07-24
Travel/Vacation Packages,11,24,2019-07-24
Apparel & Accessories,15,25,2019-07-25
Autos & Vehicles/Motor Vehicles,21,27,2019-07-25
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,19,31,2019-07-25
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,21,26,2019-07-25
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,13,17,2019-07-25
Beauty Products & Services/Hair Care Products,11,17,2019-07-25
Beauty Products & Services/Makeup & Cosmetics,10,17,2019-07-25
Business Services,28,47,2019-07-25
Business Services/Advertising & Marketing Services,99,153,2019-07-25
Business Services/Business Financial Services,15,25,2019-07-25
Business Services/Business Technology,17,27,2019-07-25
Business Services/Business Technology/Enterprise Software,61,106,2019-07-25
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,13,29,2019-07-25
Business Services/Business Technology/Network Systems & Services,26,33,2019-07-25
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,20,30,2019-07-25
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,17,25,2019-07-25
Business Services/Business Technology/Web Services/Web Design & Development,36,60,2019-07-25
Business Services/Business Technology/Web Services/Web Hosting,28,39,2019-07-25
Business Services/Payment Processing & Merchant Services,15,21,2019-07-25
Computers & Peripherals/Computer Accessories & Components,70,120,2019-07-25
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,15,23,2019-07-25
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,28,50,2019-07-25
Computers & Peripherals/Computers/Desktop Computers,15,34,2019-07-25
Computers & Peripherals/Computers/Laptops & Notebooks,33,58,2019-07-25
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,24,39,2019-07-25
Consumer Electronics/Mobile Phones,76,118,2019-07-25
Dating Services,28,46,2019-07-25
Education/Foreign Language Study,39,62,2019-07-25
Education/Post-Secondary Education,43,87,2019-07-25
Education/Post-Secondary Education/Technology Education,48,107,2019-07-25
Education/Primary & Secondary Schools (K-12),34,50,2019-07-25
Education/Test Preparation & Tutoring,18,23,2019-07-25
Employment,66,121,2019-07-25
Employment/Career Consulting Services,36,68,2019-07-25
Employment/IT & Technical Jobs,40,68,2019-07-25
Employment/Sales & Marketing Jobs,12,25,2019-07-25
Financial Services/Banking Services,28,42,2019-07-25
Financial Services/Credit & Lending/Credit Cards,19,26,2019-07-25
Financial Services/Investment Services,80,128,2019-07-25
Gifts & Occasions/Holiday & Seasonal Items,23,34,2019-07-25
Gifts & Occasions/Wedding Planning,17,25,2019-07-25
Home & Garden/Home Appliances,11,12,2019-07-25
Real Estate/Residential Properties,32,51,2019-07-25
Software/Antivirus & Security Software,36,47,2019-07-25
Software/Audio & Music Software,11,22,2019-07-25
Software/Business & Productivity Software,89,152,2019-07-25
Software/Design Software/Drawing & Animation Software,41,80,2019-07-25
Software/Design Software/Photo Software,33,63,2019-07-25
Software/Video Software,17,43,2019-07-25
Telecom/Internet Service Providers,18,20,2019-07-25
Travel/Air Travel,65,101,2019-07-25
Travel/Bus & Rail Travel,28,42,2019-07-25
Travel/Car Rental,10,21,2019-07-25
Travel/Hotels & Accommodations,46,70,2019-07-25
Travel/Trips by Destination/Trips to Asia-Pacific,61,97,2019-07-25
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,12,20,2019-07-25
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,25,41,2019-07-25
Travel/Vacation Packages,13,22,2019-07-25
Apparel & Accessories,16,23,2019-07-26
Autos & Vehicles/Motor Vehicles,19,29,2019-07-26
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,22,39,2019-07-26
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,14,32,2019-07-26
Beauty Products & Services/Hair Care Products,11,15,2019-07-26
Business Services,24,48,2019-07-26
Business Services/Advertising & Marketing Services,80,133,2019-07-26
Business Services/Business Financial Services,12,29,2019-07-26
Business Services/Business Technology,15,22,2019-07-26
Business Services/Business Technology/Enterprise Software,48,100,2019-07-26
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,11,17,2019-07-26
Business Services/Business Technology/Network Systems & Services,16,34,2019-07-26
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,16,27,2019-07-26
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,14,22,2019-07-26
Business Services/Business Technology/Web Services/Web Design & Development,32,60,2019-07-26
Business Services/Business Technology/Web Services/Web Hosting,15,22,2019-07-26
Business Services/Payment Processing & Merchant Services,10,18,2019-07-26
Computers & Peripherals/Computer Accessories & Components,56,105,2019-07-26
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,15,27,2019-07-26
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,20,39,2019-07-26
Computers & Peripherals/Computers/Desktop Computers,12,19,2019-07-26
Computers & Peripherals/Computers/Laptops & Notebooks,32,58,2019-07-26
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,21,35,2019-07-26
Consumer Electronics/Mobile Phone Accessories,12,19,2019-07-26
Consumer Electronics/Mobile Phones,65,119,2019-07-26
Dating Services,24,40,2019-07-26
Education/Foreign Language Study,34,64,2019-07-26
Education/Post-Secondary Education,47,77,2019-07-26
Education/Post-Secondary Education/Technology Education,42,83,2019-07-26
Education/Primary & Secondary Schools (K-12),30,49,2019-07-26
Education/Test Preparation & Tutoring,17,29,2019-07-26
Employment,68,127,2019-07-26
Employment/Accounting & Finance Jobs,12,25,2019-07-26
Employment/Career Consulting Services,32,57,2019-07-26
Employment/Executive & Management Jobs,10,24,2019-07-26
Employment/IT & Technical Jobs,37,76,2019-07-26
Employment/Sales & Marketing Jobs,15,34,2019-07-26
Employment/Temporary & Seasonal Jobs,10,16,2019-07-26
Financial Services/Banking Services,27,45,2019-07-26
Financial Services/Credit & Lending/Credit Cards,10,19,2019-07-26
Financial Services/Investment Services,69,117,2019-07-26
Gifts & Occasions/Holiday & Seasonal Items,20,32,2019-07-26
Gifts & Occasions/Wedding Planning,14,20,2019-07-26
Home & Garden/Home Appliances,10,17,2019-07-26
Home & Garden/Home Appliances/Vacuums,10,16,2019-07-26
Real Estate/Residential Properties,31,55,2019-07-26
Software/Antivirus & Security Software,24,47,2019-07-26
Software/Business & Productivity Software,72,133,2019-07-26
Software/Design Software/Drawing & Animation Software,32,62,2019-07-26
Software/Design Software/Photo Software,25,54,2019-07-26
Software/Video Software,19,35,2019-07-26
Travel/Air Travel,51,90,2019-07-26
Travel/Bus & Rail Travel,19,32,2019-07-26
Travel/Hotels & Accommodations,31,53,2019-07-26
Travel/Trips by Destination/Trips to Asia-Pacific,49,85,2019-07-26
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,19,30,2019-07-26
Apparel & Accessories,13,17,2019-07-27
Autos & Vehicles/Motor Vehicles,13,24,2019-07-27
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,14,30,2019-07-27
Business Services/Advertising & Marketing Services,50,87,2019-07-27
Business Services/Business Technology,13,27,2019-07-27
Business Services/Business Technology/Enterprise Software,29,63,2019-07-27
Business Services/Business Technology/Web Services/Web Design & Development,18,40,2019-07-27
Computers & Peripherals/Computer Accessories & Components,31,55,2019-07-27
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,11,25,2019-07-27
Computers & Peripherals/Computers/Laptops & Notebooks,19,33,2019-07-27
Consumer Electronics/Mobile Phones,44,78,2019-07-27
Dating Services,22,35,2019-07-27
Education/Foreign Language Study,28,53,2019-07-27
Education/Post-Secondary Education,29,50,2019-07-27
Education/Post-Secondary Education/Technology Education,25,52,2019-07-27
Education/Primary & Secondary Schools (K-12),22,41,2019-07-27
Education/Test Preparation & Tutoring,17,29,2019-07-27
Employment,46,94,2019-07-27
Employment/Career Consulting Services,19,39,2019-07-27
Employment/IT & Technical Jobs,27,60,2019-07-27
Employment/Sales & Marketing Jobs,11,28,2019-07-27
Financial Services/Banking Services,15,26,2019-07-27
Financial Services/Credit & Lending/Credit Cards,11,17,2019-07-27
Financial Services/Investment Services,45,75,2019-07-27
Gifts & Occasions/Holiday & Seasonal Items,15,24,2019-07-27
Gifts & Occasions/Wedding Planning,13,18,2019-07-27
Real Estate/Residential Properties,21,39,2019-07-27
Software/Antivirus & Security Software,12,23,2019-07-27
Software/Business & Productivity Software,38,75,2019-07-27
Software/Design Software/Drawing & Animation Software,19,41,2019-07-27
Software/Design Software/Photo Software,16,34,2019-07-27
Software/Video Software,10,19,2019-07-27
Travel/Air Travel,34,58,2019-07-27
Travel/Bus & Rail Travel,14,21,2019-07-27
Travel/Hotels & Accommodations,27,41,2019-07-27
Travel/Trips by Destination/Trips to Asia-Pacific,36,53,2019-07-27
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,18,30,2019-07-27
