interestInMarketCategory,vistornum,sessionnum,logdate
Computers & Peripherals/Computer Accessories & Components,24,40,2019-06-16
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,11,19,2019-06-16
Computers & Peripherals/Computers/Laptops & Notebooks,18,30,2019-06-16
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,18,27,2019-06-16
Consumer Electronics/Mobile Phones,49,79,2019-06-16
Dating Services,11,23,2019-06-16
Education/Foreign Language Study,15,33,2019-06-16
Education/Post-Secondary Education,27,45,2019-06-16
Education/Post-Secondary Education/Technology Education,26,57,2019-06-16
Education/Primary & Secondary Schools (K-12),19,34,2019-06-16
Education/Test Preparation & Tutoring,10,20,2019-06-16
Employment,28,66,2019-06-16
Employment/Career Consulting Services,14,45,2019-06-16
Employment/IT & Technical Jobs,24,57,2019-06-16
Financial Services/Banking Services,14,24,2019-06-16
Financial Services/Credit & Lending/Credit Cards,14,24,2019-06-16
Financial Services/Investment Services,38,68,2019-06-16
Real Estate/Residential Properties,18,30,2019-06-16
Software/Antivirus & Security Software,15,24,2019-06-16
Software/Business & Productivity Software,40,73,2019-06-16
Software/Design Software/Drawing & Animation Software,13,18,2019-06-16
Telecom/Internet Service Providers,12,27,2019-06-16
Travel/Air Travel,16,32,2019-06-16
Travel/Hotels & Accommodations,17,35,2019-06-16
Travel/Trips by Destination/Trips to Asia-Pacific,38,66,2019-06-16
Autos & Vehicles/Auto Repair & Maintenance,13,32,2019-06-17
Autos & Vehicles/Motor Vehicles,36,76,2019-06-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mazda,11,19,2019-06-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,11,14,2019-06-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Vauxhall-Opel,12,25,2019-06-17
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volvo,10,17,2019-06-17
Business Services,12,19,2019-06-17
Business Services/Advertising & Marketing Services,60,105,2019-06-17
Business Services/Business Technology,18,33,2019-06-17
Business Services/Business Technology/Enterprise Software,45,88,2019-06-17
Business Services/Business Technology/Network Systems & Services,15,28,2019-06-17
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,16,27,2019-06-17
Business Services/Business Technology/Web Services/Web Design & Development,22,44,2019-06-17
Business Services/Business Technology/Web Services/Web Hosting,12,23,2019-06-17
Computers & Peripherals/Computer Accessories & Components,33,63,2019-06-17
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,18,33,2019-06-17
Computers & Peripherals/Computers/Laptops & Notebooks,19,33,2019-06-17
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,18,32,2019-06-17
Consumer Electronics/Mobile Phones,70,121,2019-06-17
Dating Services,17,35,2019-06-17
Education/Foreign Language Study,19,33,2019-06-17
Education/Post-Secondary Education,31,56,2019-06-17
Education/Post-Secondary Education/Technology Education,26,51,2019-06-17
Education/Primary & Secondary Schools (K-12),24,47,2019-06-17
Education/Test Preparation & Tutoring,14,27,2019-06-17
Employment,38,80,2019-06-17
Employment/Career Consulting Services,17,32,2019-06-17
Employment/IT & Technical Jobs,24,50,2019-06-17
Financial Services/Banking Services,17,28,2019-06-17
Financial Services/Credit & Lending/Credit Cards,15,28,2019-06-17
Financial Services/Investment Services,55,105,2019-06-17
Financial Services/Tax Services,14,26,2019-06-17
Home & Garden/Home Appliances,11,16,2019-06-17
Real Estate/Residential Properties,28,58,2019-06-17
Software/Antivirus & Security Software,21,31,2019-06-17
Software/Business & Productivity Software,58,113,2019-06-17
Software/Design Software/Drawing & Animation Software,15,23,2019-06-17
Software/Design Software/Photo Software,13,19,2019-06-17
Software/Video Software,10,13,2019-06-17
Telecom/Mobile Phone Service Providers,11,18,2019-06-17
Travel/Air Travel,28,45,2019-06-17
Travel/Bus & Rail Travel,18,33,2019-06-17
Travel/Hotels & Accommodations,26,52,2019-06-17
Travel/Trips by Destination/Trips to Asia-Pacific,53,94,2019-06-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,11,20,2019-06-17
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,14,32,2019-06-17
Apparel & Accessories,13,21,2019-06-18
Autos & Vehicles/Auto Repair & Maintenance,12,23,2019-06-18
Autos & Vehicles/Motor Vehicles,34,71,2019-06-18
Business Services,16,24,2019-06-18
Business Services/Advertising & Marketing Services,62,108,2019-06-18
Business Services/Business Technology,23,55,2019-06-18
Business Services/Business Technology/Enterprise Software,58,118,2019-06-18
Business Services/Business Technology/Network Systems & Services,15,33,2019-06-18
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,18,35,2019-06-18
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,12,18,2019-06-18
Business Services/Business Technology/Network Systems & Services/Network Management,10,18,2019-06-18
Business Services/Business Technology/Web Services/Web Design & Development,28,57,2019-06-18
Business Services/Business Technology/Web Services/Web Hosting,10,15,2019-06-18
Business Services/Payment Processing & Merchant Services,11,15,2019-06-18
Computers & Peripherals/Computer Accessories & Components,40,67,2019-06-18
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,21,35,2019-06-18
Computers & Peripherals/Computers/Laptops & Notebooks,21,33,2019-06-18
