interestInMarketCategory,vistornum,sessionnum,logdate
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,12,17,2019-07-08
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,35,74,2019-07-08
Computers & Peripherals/Computers,11,26,2019-07-08
Computers & Peripherals/Computers/Laptops & Notebooks,22,45,2019-07-08
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,23,38,2019-07-08
Consumer Electronics/Audio/Headphones & Headsets,10,18,2019-07-08
Consumer Electronics/Mobile Phones,92,164,2019-07-08
Dating Services,30,60,2019-07-08
Education/Foreign Language Study,34,56,2019-07-08
Education/Post-Secondary Education,45,78,2019-07-08
Education/Post-Secondary Education/Technology Education,49,110,2019-07-08
Education/Primary & Secondary Schools (K-12),36,76,2019-07-08
Education/Test Preparation & Tutoring,21,36,2019-07-08
Employment,54,93,2019-07-08
Employment/Career Consulting Services,20,34,2019-07-08
Employment/IT & Technical Jobs,35,75,2019-07-08
Event Tickets/Sports Tickets/Basketball Tickets,10,20,2019-07-08
Financial Services/Banking Services,25,45,2019-07-08
Financial Services/Credit & Lending/Credit Cards,11,17,2019-07-08
Financial Services/Investment Services,83,148,2019-07-08
Financial Services/Tax Services,15,33,2019-07-08
Gifts & Occasions/Holiday & Seasonal Items,19,31,2019-07-08
Real Estate/Residential Properties,22,36,2019-07-08
Software/Antivirus & Security Software,39,65,2019-07-08
Software/Audio & Music Software,10,17,2019-07-08
Software/Business & Productivity Software,96,183,2019-07-08
Software/Design Software,14,23,2019-07-08
Software/Design Software/Drawing & Animation Software,36,65,2019-07-08
Software/Design Software/Photo Software,29,42,2019-07-08
Software/Tax & Accounting Software,10,14,2019-07-08
Software/Video Software,15,24,2019-07-08
Sports & Fitness/Sporting Goods,10,18,2019-07-08
Telecom/Internet Service Providers,14,23,2019-07-08
Travel/Air Travel,52,80,2019-07-08
Travel/Bus & Rail Travel,23,38,2019-07-08
Travel/Hotels & Accommodations,35,67,2019-07-08
Travel/Trips by Destination/Trips to Asia-Pacific,65,116,2019-07-08
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,23,45,2019-07-08
Travel/Vacation Packages,11,18,2019-07-08
Apparel & Accessories,20,42,2019-07-09
Autos & Vehicles/Auto Repair & Maintenance,15,28,2019-07-09
Autos & Vehicles/Motor Vehicles,31,48,2019-07-09
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,15,37,2019-07-09
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,20,2019-07-09
Beauty Products & Services/Makeup & Cosmetics,14,21,2019-07-09
Business Services,19,38,2019-07-09
Business Services/Advertising & Marketing Services,88,171,2019-07-09
Business Services/Business Financial Services,17,28,2019-07-09
Business Services/Business Technology,16,30,2019-07-09
Business Services/Business Technology/Enterprise Software,75,152,2019-07-09
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,14,32,2019-07-09
Business Services/Business Technology/Network Systems & Services,24,49,2019-07-09
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,20,35,2019-07-09
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,23,52,2019-07-09
Business Services/Business Technology/Web Services/Web Design & Development,37,80,2019-07-09
Business Services/Business Technology/Web Services/Web Hosting,15,31,2019-07-09
Business Services/Office Supplies,11,21,2019-07-09
Business Services/Payment Processing & Merchant Services,14,28,2019-07-09
Computers & Peripherals/Computer Accessories & Components,48,82,2019-07-09
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,31,54,2019-07-09
Computers & Peripherals/Computers/Laptops & Notebooks,21,51,2019-07-09
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,20,31,2019-07-09
Consumer Electronics/Mobile Phones,76,135,2019-07-09
Dating Services,29,41,2019-07-09
Education/Foreign Language Study,36,68,2019-07-09
Education/Post-Secondary Education,47,75,2019-07-09
Education/Post-Secondary Education/Technology Education,48,94,2019-07-09
Education/Primary & Secondary Schools (K-12),34,57,2019-07-09
Education/Test Preparation & Tutoring,21,42,2019-07-09
Employment,55,109,2019-07-09
Employment/Career Consulting Services,23,34,2019-07-09
Employment/IT & Technical Jobs,39,71,2019-07-09
Financial Services/Banking Services,19,33,2019-07-09
Financial Services/Investment Services,66,115,2019-07-09
Financial Services/Tax Services,15,26,2019-07-09
Gifts & Occasions/Holiday & Seasonal Items,18,39,2019-07-09
Real Estate/Residential Properties,29,51,2019-07-09
Software/Antivirus & Security Software,35,74,2019-07-09
Software/Business & Productivity Software,85,157,2019-07-09
Software/Design Software/Drawing & Animation Software,25,53,2019-07-09
Software/Design Software/Photo Software,27,47,2019-07-09
Software/Video Software,13,27,2019-07-09
Telecom/Mobile Phone Service Providers,10,21,2019-07-09
Travel/Air Travel,42,69,2019-07-09
Travel/Bus & Rail Travel,28,66,2019-07-09
Travel/Car Rental,11,20,2019-07-09
Travel/Hotels & Accommodations,30,55,2019-07-09
Travel/Trips by Destination/Trips to Asia-Pacific,61,106,2019-07-09
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,11,17,2019-07-09
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,22,46,2019-07-09
Apparel & Accessories,22,41,2019-07-10
Apparel & Accessories/Women's Apparel,11,17,2019-07-10
Autos & Vehicles/Auto Repair & Maintenance,12,18,2019-07-10
Autos & Vehicles/Motor Vehicles,25,40,2019-07-10
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,12,17,2019-07-10
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,20,30,2019-07-10
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,16,2019-07-10
Beauty Products & Services,10,22,2019-07-10
Beauty Products & Services/Face Care Products,11,25,2019-07-10
Beauty Products & Services/Hair Care Products,15,17,2019-07-10
Beauty Products & Services/Makeup & Cosmetics,13,22,2019-07-10
Business Services,26,38,2019-07-10
Business Services/Advertising & Marketing Services,104,173,2019-07-10
Business Services/Advertising & Marketing Services/SEO & SEM Services,12,15,2019-07-10
Business Services/Business Financial Services,23,37,2019-07-10
Business Services/Business Technology,19,35,2019-07-10
Business Services/Business Technology/Enterprise Software,90,156,2019-07-10
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,17,37,2019-07-10
Business Services/Business Technology/Network Systems & Services,22,36,2019-07-10
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,21,30,2019-07-10
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,24,41,2019-07-10
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,12,25,2019-07-10
Business Services/Business Technology/Network Systems & Services/Network Management,10,16,2019-07-10
Business Services/Business Technology/Web Services/Web Design & Development,50,87,2019-07-10
Business Services/Business Technology/Web Services/Web Hosting,20,25,2019-07-10
Business Services/Office Supplies,16,21,2019-07-10
Business Services/Payment Processing & Merchant Services,14,22,2019-07-10
Business Services/Staffing & Recruitment Services,12,16,2019-07-10
Computers & Peripherals/Computer Accessories & Components,60,89,2019-07-10
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,19,34,2019-07-10
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,34,54,2019-07-10
Computers & Peripherals/Computers,15,30,2019-07-10
Computers & Peripherals/Computers/Desktop Computers,11,21,2019-07-10
Computers & Peripherals/Computers/Laptops & Notebooks,23,38,2019-07-10
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,19,29,2019-07-10
Consumer Electronics/Mobile Phones,92,153,2019-07-10
Dating Services,35,52,2019-07-10
Education/Foreign Language Study,43,70,2019-07-10
Education/Post-Secondary Education,55,84,2019-07-10
Education/Post-Secondary Education/Technology Education,60,96,2019-07-10
Education/Primary & Secondary Schools (K-12),38,58,2019-07-10
Education/Test Preparation & Tutoring,20,30,2019-07-10
Employment,63,117,2019-07-10
Employment/Career Consulting Services,34,53,2019-07-10
Employment/Government & Public Sector Jobs,13,20,2019-07-10
Employment/IT & Technical Jobs,50,90,2019-07-10
Financial Services/Banking Services,19,35,2019-07-10
Financial Services/Investment Services,80,135,2019-07-10
Gifts & Occasions/Holiday & Seasonal Items,26,41,2019-07-10
Gifts & Occasions/Wedding Planning,13,21,2019-07-10
Home & Garden/Home Appliances,10,17,2019-07-10
Real Estate/Residential Properties,34,56,2019-07-10
Software/Antivirus & Security Software,38,58,2019-07-10
Software/Audio & Music Software,11,16,2019-07-10
Software/Business & Productivity Software,97,159,2019-07-10
Software/Design Software/Drawing & Animation Software,38,63,2019-07-10
Software/Design Software/Photo Software,32,57,2019-07-10
Software/Video Software,16,25,2019-07-10
Sports & Fitness/Sporting Goods,11,16,2019-07-10
Travel/Air Travel,59,96,2019-07-10
Travel/Bus & Rail Travel,19,42,2019-07-10
Travel/Car Rental,12,23,2019-07-10
Travel/Hotels & Accommodations,37,58,2019-07-10
Travel/Trips by Destination/Trips to Asia-Pacific,64,107,2019-07-10
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,11,15,2019-07-10
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,27,39,2019-07-10
Apparel & Accessories,19,34,2019-07-11
Apparel & Accessories/Women's Apparel,13,20,2019-07-11
Autos & Vehicles/Motor Vehicles,24,33,2019-07-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,12,20,2019-07-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,17,26,2019-07-11
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,17,23,2019-07-11
Beauty Products & Services/Hair Care Products,13,21,2019-07-11
Beauty Products & Services/Makeup & Cosmetics,11,17,2019-07-11
Business Services,19,27,2019-07-11
Business Services/Advertising & Marketing Services,77,124,2019-07-11
Business Services/Business Technology,14,19,2019-07-11
Business Services/Business Technology/Enterprise Software,52,93,2019-07-11
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,11,22,2019-07-11
Business Services/Business Technology/Network Systems & Services,17,26,2019-07-11
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,13,20,2019-07-11
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,16,29,2019-07-11
Business Services/Business Technology/Web Services/Web Design & Development,36,63,2019-07-11
Business Services/Business Technology/Web Services/Web Hosting,12,21,2019-07-11
Business Services/Payment Processing & Merchant Services,15,26,2019-07-11
Computers & Peripherals/Computer Accessories & Components,47,80,2019-07-11
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,46,2019-07-11
Computers & Peripherals/Computers,10,15,2019-07-11
Computers & Peripherals/Computers/Laptops & Notebooks,22,37,2019-07-11
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,21,27,2019-07-11
Consumer Electronics/Mobile Phones,76,118,2019-07-11
Dating Services,39,51,2019-07-11
Education/Foreign Language Study,37,51,2019-07-11
Education/Post-Secondary Education,51,69,2019-07-11
Education/Post-Secondary Education/Technology Education,33,52,2019-07-11
Education/Primary & Secondary Schools (K-12),32,46,2019-07-11
Education/Test Preparation & Tutoring,17,20,2019-07-11
Employment,60,98,2019-07-11
Employment/Career Consulting Services,28,38,2019-07-11
Employment/IT & Technical Jobs,30,46,2019-07-11
Financial Services/Banking Services,19,31,2019-07-11
Financial Services/Investment Services,59,98,2019-07-11
Gifts & Occasions/Holiday & Seasonal Items,23,42,2019-07-11
Gifts & Occasions/Wedding Planning,10,17,2019-07-11
Home & Garden/Home & Garden Services/Landscape Design,10,16,2019-07-11
Home & Garden/Home Appliances,11,15,2019-07-11
Real Estate/Residential Properties,35,50,2019-07-11
Software/Antivirus & Security Software,23,38,2019-07-11
Software/Audio & Music Software,11,23,2019-07-11
Software/Business & Productivity Software,72,117,2019-07-11
Software/Design Software/Drawing & Animation Software,34,62,2019-07-11
Software/Design Software/Photo Software,25,47,2019-07-11
Sports & Fitness/Sporting Goods,14,20,2019-07-11
Telecom/Internet Service Providers,12,15,2019-07-11
Telecom/Mobile Phone Service Providers,11,13,2019-07-11
Travel/Air Travel,67,113,2019-07-11
Travel/Bus & Rail Travel,28,46,2019-07-11
Travel/Car Rental,10,20,2019-07-11
Travel/Hotels & Accommodations,37,64,2019-07-11
Travel/Trips by Destination/Trips to Asia-Pacific,62,103,2019-07-11
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,12,18,2019-07-11
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,27,50,2019-07-11
Travel/Vacation Packages,12,26,2019-07-11
Apparel & Accessories,14,35,2019-07-12
Autos & Vehicles/Motor Vehicles,15,20,2019-07-12
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,12,17,2019-07-12
Business Services,13,26,2019-07-12
Business Services/Advertising & Marketing Services,60,116,2019-07-12
Business Services/Business Technology/Enterprise Software,39,92,2019-07-12
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,12,23,2019-07-12
Business Services/Business Technology/Network Systems & Services,12,25,2019-07-12
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,12,30,2019-07-12
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,11,27,2019-07-12
Business Services/Business Technology/Web Services/Web Design & Development,29,55,2019-07-12
Business Services/Payment Processing & Merchant Services,10,30,2019-07-12
Computers & Peripherals/Computer Accessories & Components,36,55,2019-07-12
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,10,14,2019-07-12
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,21,39,2019-07-12
Computers & Peripherals/Computers/Laptops & Notebooks,14,22,2019-07-12
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,13,18,2019-07-12
Consumer Electronics/Mobile Phones,52,78,2019-07-12
Dating Services,22,32,2019-07-12
Education/Foreign Language Study,26,54,2019-07-12
Education/Post-Secondary Education,27,44,2019-07-12
Education/Post-Secondary Education/Technology Education,26,44,2019-07-12
Education/Primary & Secondary Schools (K-12),27,41,2019-07-12
Education/Test Preparation & Tutoring,15,24,2019-07-12
Employment,42,79,2019-07-12
Employment/Career Consulting Services,22,37,2019-07-12
Employment/IT & Technical Jobs,22,43,2019-07-12
Financial Services/Banking Services,14,25,2019-07-12
Financial Services/Investment Services,45,80,2019-07-12
Gifts & Occasions/Holiday & Seasonal Items,12,25,2019-07-12
Real Estate/Residential Properties,15,19,2019-07-12
Software/Antivirus & Security Software,20,38,2019-07-12
Software/Business & Productivity Software,50,93,2019-07-12
Software/Design Software/Drawing & Animation Software,20,45,2019-07-12
Software/Design Software/Photo Software,21,39,2019-07-12
Telecom/Internet Service Providers,10,15,2019-07-12
Travel/Air Travel,49,90,2019-07-12
Travel/Bus & Rail Travel,17,38,2019-07-12
Travel/Hotels & Accommodations,30,67,2019-07-12
Travel/Trips by Destination/Trips to Asia-Pacific,45,90,2019-07-12
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,13,28,2019-07-12
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,13,35,2019-07-12
Apparel & Accessories,12,22,2019-07-13
Autos & Vehicles/Motor Vehicles,12,20,2019-07-13
Business Services,12,23,2019-07-13
Business Services/Advertising & Marketing Services,40,83,2019-07-13
Business Services/Business Technology,11,23,2019-07-13
Business Services/Business Technology/Enterprise Software,27,58,2019-07-13
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,11,25,2019-07-13
Business Services/Business Technology/Web Services/Web Design & Development,17,26,2019-07-13
Computers & Peripherals/Computer Accessories & Components,26,48,2019-07-13
Consumer Electronics/Mobile Phones,25,49,2019-07-13
Dating Services,17,33,2019-07-13
Education/Foreign Language Study,17,32,2019-07-13
Education/Post-Secondary Education,21,40,2019-07-13
Education/Post-Secondary Education/Technology Education,21,35,2019-07-13
Education/Primary & Secondary Schools (K-12),15,27,2019-07-13
Education/Test Preparation & Tutoring,14,27,2019-07-13
Employment,33,70,2019-07-13
Employment/Career Consulting Services,16,31,2019-07-13
Employment/IT & Technical Jobs,14,29,2019-07-13
Financial Services/Banking Services,11,22,2019-07-13
Financial Services/Investment Services,25,49,2019-07-13
Real Estate/Residential Properties,18,31,2019-07-13
Software/Antivirus & Security Software,16,37,2019-07-13
Software/Business & Productivity Software,34,65,2019-07-13
Software/Design Software/Drawing & Animation Software,15,28,2019-07-13
Software/Design Software/Photo Software,11,24,2019-07-13
Travel/Air Travel,26,56,2019-07-13
Travel/Bus & Rail Travel,19,42,2019-07-13
Travel/Hotels & Accommodations,22,46,2019-07-13
Travel/Trips by Destination/Trips to Asia-Pacific,34,62,2019-07-13
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,16,33,2019-07-13
Travel/Vacation Packages,10,21,2019-07-13
